DateTime,AddedIPs,RemovedIPs
1642819709,6,11
1642820438,8,8
1642821148,4,0
1642821869,4,3
1642822594,7,5
1642823547,6,3
1642824272,2,5
1642824993,5,4
1642825950,5,3
1642826672,6,4
1642827389,1,5
1642828107,2,2
1642829070,9,8
1642829788,1,0
1642830750,1,5
1642831470,2,2
1642832187,3,0
1642832911,4,4
1642834350,2,3
1642835079,4,1
1642835790,2,16
1642837229,2,2
1642837949,4,1
1642838673,5,3
1642839387,4,4
1642840107,4,5
1642840830,2,1
1642841549,5,6
1642842272,5,1
1642843231,4,3
1642843948,3,6
1642844672,0,1
1642845387,1,3
1642846108,2,3
1642846830,6,5
1642847548,5,4
1642848270,5,3
1642849229,6,4
1642849948,2,2
1642850673,5,1
1642851392,1,0
1642852111,5,4
1642852839,3,6
1642853551,2,0
1642854269,3,3
1642854991,3,4
1642855709,4,2
1642856451,3,1
1642857392,5,5
1642858108,1,6
1642858829,4,1
1642859547,2,1
1642860270,3,2
1642860993,2,4
1642861948,2,2
1642862674,5,11
1642863390,1,6
1642864108,4,0
1642864830,1,5
1642865547,6,2
1642866268,3,3
1642866989,3,1
1642867709,2,5
1642868431,1,3
1642869149,4,4
1642869870,5,6
1642870590,2,6
1642871307,1,0
1642872029,3,4
1642872748,4,7
1642873468,1,8
1642874188,2,5
1642875185,6,4
1642875871,2,0
1642876592,6,7
1642877308,1,0
1642878042,3,12
1642878748,3,0
1642879473,5,4
1642880213,3,2
1642880915,1,2
1642881640,4,4
1642882348,2,0
1642883074,4,8
1642883791,3,3
1642884512,3,6
1642885235,6,0
1642885950,3,6
1642886670,5,3
1642887394,4,4
1642888108,2,5
1642889076,3,3
1642889788,2,0
1642890511,3,3
1642891229,4,4
1642891947,2,0
1642892673,1,6
1642893392,3,0
1642894108,6,4
1642894832,0,5
1642895552,6,4
1642896278,2,3
1642896994,2,5
1642897708,5,0
1642898671,0,9
1642899389,4,0
1642900110,3,4
1642900832,2,0
1642901547,1,7
1642902269,1,7
1642902991,7,2
1642903708,8,4
1642904672,8,21
1642905388,10,0
1642906111,5,14
1642906842,6,13
1642908269,4,5
1642908989,3,0
1642909709,7,2
1642910441,2,1
1642911149,7,8
1642911871,4,3
1642912594,5,4
1642913310,5,2
1642914041,6,3
1642914751,5,8
1642915472,7,1
1642916435,2,3
1642917149,2,0
1642917874,4,3
1642918587,3,0
1642919309,3,4
1642920272,5,1
1642920989,5,5
1642921952,4,1
1642922672,0,1
1642923391,6,0
1642924110,1,4
1642924840,1,6
1642925548,4,5
1642926515,5,4
1642927229,3,0
1642927954,1,8
1642928678,4,6
1642929388,5,0
1642930351,3,4
1642931070,3,0
1642931794,3,4
1642932508,2,4
1642933231,4,5
1642934193,3,4
1642934907,2,5
1642935636,4,2
1642936349,1,2
1642937071,1,0
1642937793,0,5
1642938511,2,0
1642939229,1,1
1642939948,3,1
1642940672,3,5
1642941391,7,0
1642942110,1,3
1642942828,1,5
1642943547,0,5
1642944268,3,5
1642944990,1,5
1642945708,3,1
1642946441,3,3
1642947153,4,2
1642947871,2,2
1642948589,8,3
1642949309,2,2
1642950038,3,1
1642950750,1,11
1642951473,1,4
1642952192,1,3
1642952907,4,2
1642953630,2,2
1642954588,5,7
1642955314,2,2
1642956029,1,5
1642956748,4,2
1642957473,1,3
1642958191,2,2
1642958911,5,0
1642959630,4,3
1642960348,2,9
1642961072,6,5
1642961787,2,2
1642962511,3,4
1642963231,5,0
1642964191,3,2
1642964909,3,1
1642965633,5,7
1642966348,2,4
1642967070,1,1
1642968030,3,4
1642968747,3,0
1642969473,2,8
1642970191,4,2
1642970911,1,3
1642971875,2,16
1642972592,1,3
1642973310,5,1
1642974032,3,7
1642974748,3,6
1642975713,3,1
1642976429,4,3
1642977151,2,8
1642977870,0,1
1642978589,2,1
1642979550,3,9
1642980272,0,4
1642980993,3,1
1642981708,3,2
1642982675,5,3
1642983390,2,2
1642984109,3,7
1642985548,2,6
1642986272,6,3
1642986990,3,3
1642987710,3,3
1642988434,2,6
1642989149,7,2
1642989875,7,6
1642990587,6,4
1642991307,9,15
1642992029,7,5
1642992749,9,8
1642993482,5,6
1642994190,12,3
1642995150,4,6
1642995869,3,3
1642996591,2,7
1642997307,2,3
1642998032,6,6
1642998747,3,5
1642999468,3,3
1643000190,4,3
1643000907,6,3
1643001634,1,7
1643002348,2,3
1643003071,2,3
1643003792,3,1
1643004510,2,3
1643005231,2,3
1643005951,2,5
1643007391,2,10
1643008350,4,0
1643009314,3,4
1643010035,2,5
1643010753,3,2
1643011474,1,2
1643012191,4,3
1643012909,4,0
1643013632,8,5
1643014596,3,3
1643015312,1,3
1643016274,9,2
1643016995,2,1
1643017709,2,3
1643018443,3,1
1643019152,5,3
1643019873,5,2
1643020594,4,3
1643021555,4,5
1643022273,2,3
1643022993,1,2
1643023711,5,5
1643024432,0,5
1643025155,3,2
1643025874,2,4
1643026591,2,3
1643027550,3,3
1643028272,2,4
1643029243,5,0
1643029953,5,2
1643030673,4,5
1643031394,1,3
1643032109,4,0
1643032842,3,3
1643033799,9,2
1643034511,2,1
1643035233,3,3
1643035949,5,4
1643036672,3,3
1643037392,3,4
1643038111,7,3
1643038833,6,9
1643039794,5,5
1643040510,7,3
1643041474,1,3
1643042195,7,2
1643042910,1,3
1643043874,6,11
1643044590,1,0
1643045313,10,7
1643046033,6,6
1643046750,1,4
1643047473,6,3
1643048191,3,3
1643048909,3,0
1643049876,4,3
1643050592,5,2
1643051312,3,8
1643052031,10,0
1643052750,5,2
1643053472,2,5
1643054195,6,0
1643054910,3,2
1643055876,6,5
1643056593,6,4
1643057312,4,0
1643058035,4,2
1643058752,2,5
1643059472,7,1
1643060191,6,4
1643060909,3,6
1643061647,5,3
1643062351,1,4
1643063073,2,3
1643063791,5,2
1643064508,2,8
1643065477,4,3
1643066189,2,4
1643066911,3,3
1643067632,2,2
1643068349,2,3
1643069075,2,0
1643069789,4,2
1643070508,6,5
1643071232,3,8
1643071952,5,2
1643072675,3,7
1643073394,4,3
1643074109,5,0
1643074831,2,2
1643075792,5,10
1643076510,4,5
1643077234,8,14
1643077952,6,7
1643078671,7,6
1643079391,11,6
1643080052,6,10
1643080832,19,6
1643081550,6,0
1643082271,5,5
1643082992,4,3
1643083709,3,4
1643084431,8,0
1643085149,1,9
1643085871,7,4
1643086590,2,2
1643087550,7,6
1643088271,5,3
1643088995,2,1
1643089711,4,0
1643090443,5,3
1643091149,2,2
1643091874,2,1
1643092599,0,1
1643093555,2,3
1643094278,1,2
1643094993,7,2
1643095711,1,0
1643096431,2,1
1643097151,3,1
1643097873,4,1
1643098591,4,5
1643099312,5,4
1643100749,3,4
1643101472,5,6
1643102195,2,5
1643102912,7,2
1643103633,3,4
1643104349,7,1
1643105071,1,4
1643105790,4,4
1643106511,4,3
1643107233,1,0
1643107954,3,0
1643108672,2,3
1643109390,5,4
1643110110,3,3
1643110834,4,6
1643111551,5,0
1643112271,1,4
1643112994,2,4
1643113951,2,0
1643114671,2,2
1643115396,4,2
1643116110,1,2
1643116832,3,2
1643117551,4,3
1643118271,2,3
1643118992,4,4
1643119716,3,5
1643120430,1,4
1643121150,2,2
1643121871,2,5
1643122592,4,3
1643123315,7,2
1643124273,6,4
1643124995,8,3
1643125712,3,3
1643126431,3,5
1643127151,1,1
1643127871,7,0
1643128592,4,6
1643129310,2,4
1643130033,5,0
1643130753,3,2
1643131478,3,0
1643132191,5,6
1643132911,4,8
1643133632,5,3
1643134349,3,2
1643135071,3,3
1643135810,4,8
1643136509,3,2
1643137232,4,2
1643137952,1,4
1643138674,4,4
1643139394,6,7
1643140109,1,2
1643140831,3,1
1643141817,1,5
1643142510,4,10
1643143235,2,4
1643143950,3,6
1643144672,5,1
1643145389,2,4
1643146356,2,3
1643147074,1,5
1643147792,4,3
1643148509,1,2
1643149233,2,1
1643150198,9,8
1643150914,2,3
1643151635,1,0
1643152350,2,2
1643153074,4,3
1643154046,3,6
1643154755,2,2
1643155477,2,3
1643156191,3,6
1643156909,3,0
1643157630,1,4
1643158350,3,9
1643159077,3,3
1643159789,2,0
1643160511,2,4
1643161234,6,3
1643161951,3,0
1643162673,1,6
1643163394,5,7
1643164109,8,12
1643164831,9,8
1643165550,7,6
1643166276,4,10
1643166992,9,7
1643167711,2,287
1643168433,7,1
1643169154,4,4
1643169871,4,5
1643170592,3,5
1643171311,9,2
1643172032,4,4
1643172750,6,0
1643173474,4,7
1643174193,4,5
1643174910,3,1
1643175635,2,1
1643176349,2,2
1643177072,6,3
1643177790,2,4
1643178512,7,1
1643179231,5,2
1643179952,3,0
1643180680,2,0
1643181392,5,0
1643182357,3,3
1643183071,2,2
1643183793,1,3
1643184511,4,2
1643185232,2,1
1643185949,1,4
1643186671,3,0
1643187389,3,5
1643188110,4,5
1643188831,3,1
1643190259,2,2
1643190968,3,3
1643191687,2,3
1643192406,3,1
1643193126,5,6
1643193847,1,1
1643194567,3,1
1643195529,1,2
1643196249,0,3
