DateTime,Entries,UniqueIPs
1642819709,8362,8397
1642820438,8364,8399
1642821148,8364,8397
1642821869,8364,8397
1642822594,8366,8399
1642823547,8369,8402
1642824272,8365,8398
1642824993,8367,8400
1642825950,8365,8398
1642826672,8367,8400
1642827389,8363,8396
1642828107,8363,8396
1642829070,8368,8401
1642829788,8368,8401
1642830750,8366,8399
1642831470,8367,8400
1642832187,8366,8399
1642832911,8366,8399
1642833631,8363,8396
1642834350,8362,8395
1642835079,8365,8398
1642835790,8366,8399
1642836507,8365,8398
1642837229,8366,8399
1642837949,8368,8401
1642838673,8370,8403
1642839387,8373,8406
1642840107,8371,8404
1642840830,8372,8405
1642841549,8376,8409
1642842272,8377,8410
1642843231,8378,8411
1642843948,8377,8410
1642844672,8375,8408
1642845387,8372,8405
1642846108,8371,8404
1642846830,8373,8406
1642847548,8374,8407
1642848270,8376,8409
1642849229,8377,8410
1642849948,8373,8406
1642850673,8373,8406
1642851392,8374,8407
1642852111,8374,8407
1642852839,8374,8407
1642853551,8374,8407
1642854269,8377,8410
1642854991,8375,8408
1642855709,8376,8409
1642856451,8374,8407
1642857392,8373,8406
1642858108,8372,8405
1642858829,8373,8406
1642859547,8373,8406
1642860270,8372,8405
1642860993,8372,8405
1642861948,8368,8401
1642862674,8370,8403
1642863390,8369,8402
1642864108,8370,8403
1642864830,8369,8402
1642865547,8371,8404
1642866268,8370,8403
1642866989,8369,8402
1642867709,8368,8401
1642868431,8367,8400
1642869149,8369,8402
1642869870,8371,8404
1642870590,8370,8403
1642871307,8369,8401
1642872029,8367,8399
1642872748,8370,8402
1642873468,8366,8398
1642874188,8364,8396
1642875185,8365,8397
1642875871,8367,8399
1642876592,8367,8399
1642877308,8366,8398
1642878042,8365,8397
1642878748,8365,8397
1642879473,8367,8399
1642880213,8364,8396
1642880915,8364,8396
1642881640,8361,8393
1642882348,8360,8392
1642883074,8359,8391
1642883791,8361,8393
1642884512,8361,8393
1642885235,8363,8395
1642885950,8361,8393
1642886670,8363,8395
1642887394,8360,8392
1642888108,8358,8390
1642889076,8356,8388
