DateTime,AddedIPs,RemovedIPs
1642705927,1,0
1642706650,2,2
1642708447,8,11
1642709166,1,8
1642709888,1,0
1642710247,3,0
1642711328,12,5
1642712046,2,1
1642712769,0,12
1642713487,2,3
1642714565,1,2
1642714927,1,0
1642716126,1,8
1642717812,5,1
1642718528,4,1
1642720327,10,4
1642721053,1,0
1642722129,1,21
1642722847,1,1
1642723927,7,29
1642725012,0,9
1642725368,0,4
1642726447,5,2
1642727166,4,15
1642727886,1,1
1642728610,0,15
1642729325,0,2
1642730046,3,0
1642731847,6,3
1642733287,3,7
1642735087,0,6
1642735814,2,13
1642736169,2,2
1642737966,15,1
1642738688,3,0
1642739417,6,3
1642740846,13,1
1642741566,8,3
1642742287,11,0
1642742647,4,0
1642744446,7,7
1642745166,1,5
1642745526,1,0
1642746247,4,0
1642746966,7,9
1642748047,1,1
1642748782,0,1189
1642749487,1187,0
1642750613,18,16
1642750927,4,0
1642751646,1,0
1642752367,2,3
1642753087,0,1193
1642754167,1184,0
1642754886,1,1
1642756686,4,13
1642757054,1,0
1642758128,3,7
1642760286,2,5
1642761011,3,4
1642761365,1,1
1642762508,4,0
1642763167,1,8
1642764967,6,14
1642765686,1,0
1642766767,1,2
1642768210,3,8
1642769288,0,5
1642770726,2,3
1642771086,1,0
1642772170,1,26
1642773248,1,0
1642774326,2,6
1642775050,2,0
1642775768,0,29
1642776488,0,1
1642776847,2,0
1642778647,4,3
1642779367,2,9
1642780820,2,4
1642781888,1,0
1642783329,4,15
1642784047,7,0
1642784767,4,4
1642785908,3,0
1642787046,3,7
1642787287,2,0
1642788367,3,4
1642788728,2,1
1642789867,7,6
1642790886,3,0
1642791967,0,3
1642792686,6,0
1642793053,2,1
1642794126,2,4
1642795217,10,4
1642795927,4,1
1642797010,5,3
1642797727,0,1
1642798087,3,1
1642799168,1,2
1642799888,5,2
1642801328,3,26
1642802047,4,0
1642803186,3,6
1642804211,2,15
1642804568,1,6
1642805287,0,2
1642807088,4,8
1642808887,3,22
1642810685,4,11
1642811766,2,16
1642812485,11,3
1642813926,31,11
1642814647,7,1
1642815368,4,18
1642816509,1,0
1642818667,7,26
1642819327,7,4
1642821127,5,16
1642821847,1,0
1642823047,1,11
1642824187,3,12
1642824726,1,0
1642825820,5,14
1642826527,0,9
1642827247,2,1
1642828326,0,19
1642829046,2,0
1642830846,9,27
1642832648,7,16
1642833366,1,20
1642834086,0,3
1642835886,3,17
1642836610,1,6
1642837688,0,5
1642838766,0,887
1642840567,826,0
1642841286,0,7
1642841646,1,1
1642842366,3,15
1642844167,4,15
1642844886,2,2
1642846687,11,15
1642847409,2,8
1642848487,2,0
1642849565,5,8
1642850286,1,0
1642851010,2,11
1642851727,2,0
1642853526,20,15
1642854609,9,13
1642855326,2,6
1642856826,7,12
1642857127,1,0
1642858925,9,21
1642860125,12,7
1642861086,7,1
1642861454,3,0
1642862527,5,7
1642863726,4,9
1642865768,10,9
1642866127,5,0
1642866846,10,0
1642867566,6,17
1642867925,2,0
1642869726,22,59
1642870446,9,0
1642871527,8,10
1642871887,2,1
1642872967,3,6
1642873327,1,0
1642874525,2,2
1642876927,4,11
1642878427,3,11
1642879086,1,0
1642879817,4,7
1642880527,4,6
1642880885,5,0
1642882686,13,11
1642883409,5,6
1642884486,6,0
1642885566,5,3
1642886287,5,0
1642886646,7,0
1642887366,8,3
1642888446,4,0
1642889167,12,8
1642889888,14,1
1642890609,1,12
1642892421,12,6
1642892772,2,0
1642893487,3,5
1642895286,7,8
1642897085,7,9
1642897811,5,2
1642898166,1,1
1642899246,10,1
1642899967,3,6
1642900686,4,1
1642901410,1,5
1642902487,5,3
1642902846,2,0
1642903925,4,3
1642905010,2,4
1642905726,0,2
1642906446,1,0
1642908609,6,16
1642909326,1,2
1642910046,0,2
1642912212,9,28
1642912926,2,2
1642913648,2,1
1642914366,2,3
1642915085,1,1
1642916166,9,6
1642916886,1,1
1642917247,1,0
1642918688,5,5
1642919409,2,1
1642919768,2,9
1642921567,18,16
1642922285,1,1
1642924446,4,6
1642926245,3,4
1642927687,1,8
1642928767,1,6
1642930213,0,731
1642931287,733,0
1642932366,1,8
1642933507,0,726
1642934166,715,0
1642935246,4,0
1642935968,2,3
1642936685,2,0
1642937411,0,720
1642937767,717,0
1642938487,0,1
1642938846,1,1
1642941010,5,5
1642942816,4,3
1642944249,5,3
1642945327,1,5
1642946047,1,1
1642946766,0,2
1642947127,1,0
1642948213,1,2
1642948928,5,2
1642949645,12,0
1642950366,14,3
1642951087,16,0
1642952886,36,6
1642954148,23,5
1642955046,15,2
1642956487,32,6
1642958286,28,5
1642959007,17,11
1642960446,36,4
1642961167,11,2
1642961527,5,0
1642962967,26,9
1642963687,12,2
1642965487,31,10
1642966215,14,6
1642967288,19,0
