DateTime,Entries,UniqueIPs
1642705927,9204,9204
1642706650,9204,9204
1642708447,9201,9201
1642709166,9194,9194
1642709888,9195,9195
1642710247,9198,9198
1642711328,9205,9205
1642712046,9206,9206
1642712769,9194,9194
1642713487,9193,9193
1642714565,9192,9192
1642714927,9193,9193
1642716126,9186,9186
1642717812,9190,9190
1642718528,9193,9193
1642720327,9199,9199
1642721053,9200,9200
1642722129,9180,9180
1642722847,9180,9180
1642723927,9158,9158
1642725012,9149,9149
1642725368,9145,9145
1642726447,9148,9148
1642727166,9137,9137
1642727886,9137,9137
1642728610,9122,9122
1642729325,9120,9120
1642730046,9123,9123
1642731847,9126,9126
1642733287,9122,9122
1642735087,9116,9116
1642735814,9105,9105
1642736169,9105,9105
1642737966,9119,9119
1642738688,9122,9122
1642739417,9125,9125
1642740846,9137,9137
1642741566,9142,9142
1642742287,9153,9153
1642742647,9157,9157
1642744446,9157,9157
1642745166,9153,9153
1642745526,9154,9154
1642746247,9158,9158
1642746966,9156,9156
1642748047,9156,9156
1642748782,7967,7967
1642749487,9154,9154
1642750613,9156,9156
1642750927,9160,9160
1642751646,9161,9161
1642752367,9160,9160
1642753087,7967,7967
1642754167,9151,9151
1642754886,9151,9151
1642756686,9142,9142
1642757054,9143,9143
1642758128,9139,9139
1642760286,9136,9136
1642761011,9135,9135
1642761365,9135,9135
1642762508,9139,9139
1642763167,9132,9132
1642764967,9124,9124
1642765686,9125,9125
1642766767,9124,9124
1642768210,9119,9119
1642769288,9114,9114
1642770726,9113,9113
1642771086,9114,9114
1642772170,9089,9089
1642773248,9090,9090
1642774326,9086,9086
1642775050,9088,9088
1642775768,9059,9059
1642776488,9058,9058
1642776847,9060,9060
1642778647,9061,9061
1642779367,9054,9054
1642780820,9052,9052
1642781888,9053,9053
1642783329,9042,9042
1642784047,9049,9049
1642784767,9049,9049
1642785908,9052,9052
1642787046,9048,9048
1642787287,9050,9050
1642788367,9049,9049
1642788728,9050,9050
1642789867,9051,9051
1642790886,9054,9054
1642791967,9051,9051
1642792686,9057,9057
1642793053,9058,9058
1642794126,9056,9056
1642795217,9062,9062
1642795927,9065,9065
1642797010,9067,9067
1642797727,9066,9066
1642798087,9068,9068
1642799168,9067,9067
1642799888,9070,9070
1642801328,9047,9047
1642802047,9051,9051
1642803186,9048,9048
1642804211,9035,9035
1642804568,9030,9030
1642805287,9028,9028
1642807088,9024,9024
1642808887,9005,9005
1642810685,8998,8998
1642811766,8984,8984
1642812485,8992,8992
1642813926,9012,9012
1642814647,9018,9018
1642815368,9004,9004
1642816509,9005,9005
1642818667,8986,8986
1642819327,8989,8989
1642821127,8978,8978
1642821847,8979,8979
1642823047,8969,8969
1642824187,8960,8960
1642824726,8961,8961
1642825820,8952,8952
1642826527,8943,8943
1642827247,8944,8944
1642828326,8925,8925
1642829046,8927,8927
1642830846,8909,8909
1642832648,8900,8900
1642833366,8881,8881
1642834086,8878,8878
1642835886,8864,8864
1642836610,8859,8859
1642837688,8854,8854
1642838766,7967,7967
1642840567,8793,8793
1642841286,8786,8786
1642841646,8786,8786
1642842366,8774,8774
1642844167,8763,8763
1642844886,8763,8763
1642846687,8759,8759
1642847409,8753,8753
1642848487,8755,8755
1642849565,8752,8752
1642850286,8753,8753
1642851010,8744,8744
1642851727,8746,8746
1642853526,8751,8751
1642854609,8747,8747
1642855326,8743,8743
1642856826,8738,8738
1642857127,8739,8739
1642858925,8727,8727
1642860125,8732,8732
1642861086,8738,8738
1642861454,8741,8741
1642862527,8739,8739
1642863726,8734,8734
1642865768,8735,8735
1642866127,8740,8740
1642866846,8750,8750
1642867566,8739,8739
1642867925,8741,8741
1642869726,8704,8704
1642870446,8713,8713
1642871527,8711,8711
1642871887,8712,8712
1642872967,8709,8709
1642873327,8710,8710
1642874525,8710,8710
1642876927,8703,8703
1642878427,8695,8695
1642879086,8696,8696
