DateTime,AddedIPs,RemovedIPs
1642700531,11,0
1642702328,14,9
1642703771,5,7
1642705570,5,1
1642705932,1,0
1642706653,2,2
1642708451,8,10
1642709169,1,8
1642709891,1,0
1642710250,3,0
1642711332,12,5
1642712050,2,1
1642712772,0,12
1642713491,1,3
1642714569,1,2
1642714931,1,0
1642716129,1,8
1642717816,5,1
1642718531,4,1
1642720331,10,4
1642721058,1,0
1642722132,1,21
1642722849,1,1
1642723931,7,29
1642725017,0,9
1642725372,0,4
1642726450,4,2
1642727169,3,15
1642727889,1,1
1642728613,0,10
1642729328,0,2
1642730050,3,0
1642731850,5,3
1642733289,3,6
1642735091,0,6
1642735819,1,13
1642736173,2,2
1642737971,13,1
1642738691,2,0
1642739421,6,3
1642740849,12,1
1642741569,8,3
1642742291,11,0
1642742651,4,0
1642744449,7,7
1642745169,1,4
1642745529,1,0
1642746249,4,0
1642746970,1,9
1642748050,1,1
1642748944,0,3
1642750615,18,16
1642750931,4,0
1642752370,1,3
1642754170,2,11
1642754888,1,1
1642756689,4,13
1642757058,1,0
1642758131,3,7
1642760289,2,5
1642761014,2,4
1642761368,1,1
1642762512,4,0
1642763170,1,8
1642764971,6,13
1642765689,1,0
1642766770,1,2
1642768214,3,8
1642769291,0,5
1642770729,2,3
1642771088,1,0
1642772172,1,25
1642773252,1,0
1642774330,2,5
1642775053,1,0
1642775771,0,27
1642776491,0,1
1642776850,2,0
1642778650,4,3
1642779370,1,9
1642780825,2,4
1642781891,1,0
1642783331,4,15
1642784049,8,0
1642784770,3,4
1642785911,3,0
1642787049,3,7
1642787290,2,0
1642788370,3,3
1642788731,2,1
1642789871,7,6
1642790890,3,0
1642791970,1,3
1642792689,5,0
1642793056,2,1
1642794130,2,4
1642795222,10,4
1642795930,4,1
1642797013,5,3
1642797730,0,1
1642798090,3,1
1642799170,1,2
1642799892,5,2
1642801332,3,25
1642802050,4,0
1642803190,3,6
1642804215,2,15
1642804571,1,6
1642805290,0,2
1642807092,4,7
1642808890,3,20
1642810688,4,11
1642811770,2,16
1642812488,11,3
1642813929,31,11
1642814649,7,1
1642815372,4,18
1642816513,1,0
1642818670,6,26
1642819329,7,4
1642821130,4,16
1642821849,1,0
1642823050,1,11
1642824191,3,12
1642824730,1,0
1642825823,5,14
1642826531,0,9
1642827249,2,1
1642828329,0,18
1642829048,2,0
1642830850,8,27
1642832650,7,16
1642833369,1,20
1642834089,0,3
1642835889,3,17
1642836613,1,6
1642837691,0,5
1642838769,6,10
1642840570,2,59
1642841288,0,7
1642841649,1,1
1642842369,3,15
1642844169,4,14
1642844889,2,2
1642846689,10,15
1642847413,2,8
1642848489,2,0
1642849569,4,7
1642850289,1,0
1642851014,2,11
1642851729,2,0
1642853529,20,15
1642854612,9,13
1642855329,2,6
1642856829,7,12
1642858929,9,21
1642860128,11,7
1642861089,7,1
1642861457,4,0
1642862530,4,7
1642863729,4,9
1642865771,10,8
1642866130,5,0
1642866849,10,0
1642867569,6,17
1642867928,2,0
1642869729,21,59
1642870449,10,0
1642871531,5,10
1642871889,2,1
1642872970,3,6
1642873330,1,0
1642874527,2,2
1642876930,3,11
1642878430,3,11
1642879089,1,0
1642879821,4,7
1642880530,4,6
1642880888,4,0
1642882689,13,11
1642883413,5,5
1642884489,6,0
1642885569,5,3
1642886291,5,0
1642886650,8,0
1642887369,7,3
1642888449,4,0
1642889170,12,8
1642889892,14,1
1642890613,1,12
1642892428,12,6
1642892777,2,0
1642893491,3,5
1642895289,7,8
1642897088,7,7
1642897815,5,2
1642898169,1,1
1642899249,10,1
1642899970,3,6
1642900689,4,1
1642901413,1,4
1642902490,5,3
1642902849,2,0
1642903928,4,3
1642905013,2,4
1642905729,0,2
1642906450,1,0
1642908613,6,13
1642909329,1,2
1642910050,0,2
1642912216,9,27
1642912929,1,2
1642913652,2,1
1642914369,2,3
1642915088,1,1
1642916169,9,6
1642916890,1,1
1642917250,1,0
1642918691,5,4
1642919413,0,1
1642919771,2,9
1642921569,16,15
1642922288,1,1
1642924449,3,5
1642926248,3,4
1642927690,1,8
1642928770,1,6
1642930214,5,6
1642931290,5,1
1642932368,1,8
1642933511,0,5
1642934169,1,7
1642935248,4,0
1642935971,1,3
1642936690,2,0
1642937417,1,7
1642937770,3,0
1642938490,0,1
1642938849,1,1
1642941013,4,5
1642942822,3,3
1642944251,5,3
1642945330,1,4
1642946051,1,1
1642946770,0,2
1642947129,1,0
1642948217,1,2
1642948931,5,2
1642949648,13,0
1642950369,14,3
1642951090,16,0
1642952889,36,5
1642955049,38,7
1642956490,32,6
1642958289,26,5
1642959011,17,11
1642960449,37,4
1642961169,9,2
1642961530,5,0
1642962972,26,9
1642963690,13,2
1642965490,31,10
1642966219,13,6
1642967291,19,1
1642968370,14,9
1642969090,14,1
1642969450,7,1
1642970170,10,8
1642970889,13,0
1642971624,12,1
1642972332,11,1
1642973413,12,6
1642975570,16,4
1642976289,7,0
1642977370,6,2
1642978089,8,2
1642978450,5,0
1642979170,6,3
1642979891,6,2
1642981330,9,1
1642982050,6,2
1642983850,7,26
1642984216,1,14
1642984929,3,3
1642985290,2,0
1642986729,16,1
1642987450,2,0
1642988169,2,7
1642988890,1,0
1642989250,0,1
1642989970,2,6
1642990690,1,0
1642991309,5,1
1642992130,9,3
1642992489,14,0
1642993930,14,9
1642995062,1,3
1642995371,0,1
1642996450,3,1
1642997530,4,9
1642998249,0,1
1642998970,3,2
1643001850,3,8
1643003649,2,2
1643005451,2,3
1643005814,1,2
1643006530,1,0
1643007729,3,4
1643009770,4,4
1643010490,1,0
1643010851,3,0
1643011572,5,3
1643012290,3,1
1643013013,3,3
1643014088,4,1
1643015170,0,4
1643015890,2,1
1643018051,0,10
1643018770,1,3
1643019488,8,1
1643020215,2,7
1643020571,1,2
1643021650,0,2
1643023089,1,4
1643023811,1,5
1643024171,0,1
1643026691,3,5
1643027412,1,8
1643028129,2,2
1643028850,4,2
1643029569,5,3
1643030291,2,0
1643030650,3,1
1643031730,7,12
1643032450,8,0
1643033589,10,3
1643034614,9,6
1643035330,6,6
1643036051,4,0
1643037845,12,10
1643038570,8,16
1643039649,6,1
1643040369,6,8
1643042169,12,4
1643043249,14,3
1643043969,7,2
1643044329,2,0
1643045050,4,0
1643046490,8,5
1643048291,7,3
1643049012,1,3
1643049371,1,1
1643050513,4,0
1643051529,2,6
1643052251,2,0
1643054051,3,9
1643054771,0,7
1643056569,8,19
1643057650,1,4
1643058371,1,10
1643060531,4,27
1643061251,4,0
1643063050,7,7
1643063770,0,8
1643065571,4,8
1643066291,13,0
1643067016,1,3
1643068449,1,3
1643069170,2,9
1643069890,2,0
1643070251,0,1
1643070971,1,5
1643072769,11,6
1643073490,8,2
1643074214,8,6
1643074931,13,1
1643075651,7,1
1643076790,15,4
1643077817,12,5
1643078890,6,6
1643079250,1,0
1643080390,2,3
1643082491,4,6
1643082852,2,0
1643083933,4,5
1643084292,1,0
1643085372,7,11
1643085731,2,0
1643086931,3,3
1643087889,2,0
1643088612,2,6
1643089330,4,4
1643090830,2,14
1643092215,1,7
1643093291,1,2
1643094371,0,9
1643095510,1,1
1643096529,0,5
1643096887,1,0
1643097971,17,3
1643099114,2,3
1643100130,1,8
1643100850,1,0
1643101226,0,3
1643101931,4,0
1643103731,1,1
1643104450,2,0
1643105889,2,3
1643106613,2,3
1643107329,2,2
1643108049,1,0
1643108768,1,2
1643109129,5,2
1643109850,2,1
1643110570,1,6
1643111712,3,1
1643112850,2,2
1643113989,6,5
1643115250,8,1
1643116329,4,2
1643117414,3,3
1643118550,8,3
1643119571,7,21
1643121371,10,41
1643123171,6,31
1643123890,9,0
1643124614,13,28
1643126050,16,12
1643127851,8,24
1643129650,12,44
1643130370,8,35
1643131091,4,0
1643132891,10,36
1643134690,5,27
1643136490,10,32
1643137014,0,1
1643137569,3,26
1643137930,3,0
1643138650,2,0
1643139370,1,34
1643140449,1,2
1643141589,1,23
1643142612,2,23
1643143330,4,3
1643144050,4,0
1643144771,3,9
1643145489,3,0
1643146217,6,5
1643147291,5,1
1643149090,6,15
1643149815,2,9
1643151970,9,8
1643152330,3,0
1643153051,5,0
1643153771,6,4
1643154850,9,3
1643155989,18,14
1643157017,12,8
1643158452,4,1
1643160249,9,2
1643160970,1,7
1643161330,0,6
1643162528,3,24
1643163490,3,0
1643164214,7,6
1643164930,6,0
1643165649,4,0
1643166372,4,5
1643167092,3,0
1643168172,3,7
1643169249,5,1
1643170688,12,0
1643171414,9,4
1643171771,6,0
1643173569,7,4
1643175730,10,5
1643176451,3,1
1643177170,6,3
1643177889,2,0
1643178615,2,2
1643179329,2,1
1643180049,3,0
1643180772,2,2
1643181130,4,0
1643182270,4,9
1643183291,4,3
1643184729,4,3
1643185449,5,1
1643186171,0,2
1643186529,1,0
1643187249,2,0
1643187969,0,1
1643189049,15,2
1643189770,1,9
1643190851,0,3
1643192289,3,1
1643193012,6,1
1643194449,8,2
1643195169,4,3
1643195891,5,2
