DateTime,AddedIPs,RemovedIPs
1642670283,136,63
1642671005,95,125
1642672083,80,30
1642673163,68,95
1642674606,121,122
1642676764,132,114
1642678206,64,125
1642679283,63,27
1642681083,84,95
1642681805,43,95
1642683244,100,44
1642683963,34,155
1642684683,39,0
1642685405,45,118
1642686124,51,16
1642687563,81,79
1642689006,73,95
1642690083,58,32
1642691882,85,55
1642692243,22,0
1642692963,42,104
1642694043,54,1
1642694764,37,73
1642695483,41,0
1642696924,78,139
1642697643,50,0
1642699443,99,72
1642700163,73,133
1642700523,38,0
1642702322,106,94
1642703043,34,0
1642703763,33,110
1642705563,96,86
1642706642,52,0
1642708444,92,129
1642709163,34,109
1642709884,36,0
1642710244,24,0
1642711325,59,151
1642712043,44,1
1642712763,40,88
1642714207,94,92
1642714924,30,21
1642716123,69,112
1642716723,34,0
1642717805,52,110
1642718524,36,41
1642720324,112,82
1642721044,29,0
1642722124,64,158
1642722843,27,0
1642723924,56,115
1642725006,43,101
1642726443,65,41
1642727163,28,86
1642728605,55,105
1642729322,33,18
1642730043,36,0
1642731483,54,83
1642731843,19,0
1642733283,50,140
1642735083,67,75
1642736163,47,124
1642737962,82,67
1642738684,30,0
1642739406,29,86
1642740843,86,24
1642741563,30,54
1642742644,52,0
1642744443,70,76
1642745523,51,52
1642746244,26,0
1642746962,36,88
1642747324,14,7
1642748043,39,0
1642748782,0,16319
1642749484,16314,0
1642750610,58,74
1642750923,13,0
1642751643,61,0
1642752364,33,70
1642753443,39,0
1642754163,35,114
1642754883,27,11
1642757044,88,43
1642758124,54,74
1642760284,82,117
1642761363,6,21140
1642763163,21142,7
1642764242,49,0
1642764963,28,387
1642765683,26,0
1642766763,33,53
1642768205,65,77
1642769284,30,27
1642769643,17,0
1642770723,31,66
1642771083,25,0
1642772166,33,94
1642772884,26,0
1642773244,11,0
1642774323,48,82
1642775043,29,0
1642775764,30,113
1642776484,25,7
1642776843,14,0
1642778643,45,67
1642779363,26,109
1642780083,23,0
1642780815,32,85
1642781523,23,0
1642781884,9,0
1642783324,60,151
1642784043,21,1
1642784763,25,80
1642785903,36,0
1642787042,51,130
1642787284,4,0
1642788363,32,86
1642788724,6,0
1642789863,45,111
1642790883,27,35
1642791963,33,88
1642792684,23,0
1642793044,13,1
1642794123,40,106
1642795212,41,94
1642795924,15,0
1642797006,34,116
1642797724,24,38
1642798084,19,0
1642799164,26,85
1642799884,33,1
1642801325,53,179
1642802044,18,1
1642803183,36,124
1642804206,34,131
1642805283,33,44
1642807084,52,82
1642808884,54,137
1642810682,61,103
1642811763,30,97
1642812483,40,10
1642813923,78,71
1642814643,33,0
1642815364,27,116
1642816505,38,0
1642818664,59,185
1642819323,34,37
1642821123,54,64
1642821843,25,0
1642823043,28,95
1642824183,25,68
1642824723,18,0
1642825805,32,98
1642826523,18,32
1642827243,18,0
1642828323,33,93
1642829043,33,0
1642830843,56,145
1642832644,55,111
1642833363,27,174
1642834082,21,115
1642835883,66,73
1642836605,27,90
1642837683,55,24
1642838763,44,87
1642840563,67,158
1642841283,34,18
1642841644,12,0
1642842362,16,65
1642843444,38,0
1642844163,17,201
1642844883,21,0
1642846684,111,75
1642847405,30,89
1642848484,40,32
1642849562,42,56
1642850643,50,0
1642851723,41,92
1642853523,80,99
1642854605,53,105
1642855322,34,27
1642855683,6,0
1642856823,42,77
1642857123,17,0
1642858922,65,120
1642860123,144,69
1642861443,322,0
1642862524,27,102
1642863723,40,58
1642863962,12,0
1642865763,77,95
1642866124,17,0
1642866843,34,0
1642867922,41,89
1642869723,66,165
1642870443,32,0
1642871523,44,78
1642871883,18,0
1642872964,36,97
1642873323,12,0
1642874522,41,81
1642874763,6,0
1642876923,74,115
1642877283,11,0
1642878423,38,69
1642879806,59,91
1642880882,45,26
1642882683,80,91
1642883405,32,102
1642884483,38,22
1642886284,92,70
1642887363,49,105
1642888442,42,0
1642889163,33,96
1642889883,52,0
1642890605,31,86
1642892414,108,95
1642892766,24,0
1642893484,351,0
1642895282,69,95
1642897083,90,68
1642898163,43,86
1642899964,84,77
1642900683,39,0
1642901405,36,80
1642902483,57,16
1642902843,23,0
1642903922,48,71
1642905005,55,80
1642905723,25,22
1642906443,35,0
1642908605,89,140
1642909323,27,20
1642910042,30,0
1642912205,97,179
1642912922,21,30
1642913643,17,0
1642914363,22,57
1642915806,55,99
1642917244,63,22
1642918322,56,73
1642918683,19,0
1642919405,32,84
1642919764,19,27
1642921563,98,128
1642922643,37,0
1642924444,74,128
1642926242,91,56
1642927684,85,140
1642929842,57,13874
1642930562,13821,55
1642931283,29,0
1642931643,12,0
1642932362,35,91
1642933504,86,0
1642934163,48,153
1642935242,45,17
1642936682,59,72
