DateTime,Entries,UniqueIPs
1642718529,5877,5877
1642720328,5862,5862
1642721056,5874,5874
1642722130,5810,5810
1642722848,5823,5823
1642723928,5782,5782
1642725370,5721,5721
1642726448,5731,5731
1642727167,5694,5694
1642727888,5708,5708
1642728611,5655,5655
1642729327,5654,5654
1642730048,5671,5671
1642731848,5643,5643
1642733288,5574,5574
1642735088,5553,5553
1642735816,5508,5508
1642736171,5501,5501
1642737969,5490,5490
1642738689,5500,5500
1642739419,5452,5452
1642740847,5481,5481
1642741567,5462,5462
1642742289,5466,5466
1642742649,5474,5474
1642744447,5462,5462
1642745167,5449,5449
1642745527,5454,5454
1642746248,5462,5462
1642746967,5435,5435
1642747329,5438,5438
1642748048,5455,5455
1642748783,5447,5447
1642749488,5455,5455
1642750613,5457,5457
1642750928,5462,5462
1642751648,5481,5481
1642752369,5483,5483
1642753447,5499,5499
1642754168,5482,5482
1642754887,5484,5484
1642756687,5490,5490
1642757055,5502,5502
1642758129,5493,5493
1642760287,5440,5440
1642761012,5426,5426
1642761366,5423,5423
1642762509,5427,5427
1642763168,5425,5425
1642764969,5278,5278
1642765687,5292,5292
1642766768,5281,5281
1642768212,5280,5280
1642769289,5277,5277
1642769648,5284,5284
1642770727,5271,5271
1642771087,5282,5282
1642772171,5260,5260
1642772888,5271,5271
1642773249,5274,5274
1642774327,5240,5240
1642775050,5250,5250
1642775769,5199,5199
1642776489,5205,5205
1642776849,5209,5209
1642778648,5179,5179
1642779367,5130,5130
1642780087,5143,5143
1642780822,5088,5088
1642781527,5104,5104
1642781889,5110,5110
1642783329,5035,5035
1642784047,5038,5038
1642784768,5012,5012
1642785909,5019,5019
1642787047,4956,4956
1642788369,4911,4911
1642788729,4913,4913
1642789868,4862,4862
1642790168,4850,4850
1642790888,4852,4852
1642791968,4796,4796
1642792687,4803,4803
1642793054,4809,4809
1642794128,4751,4751
1642795219,4705,4705
1642795928,4712,4712
1642797728,4630,4630
1642798088,4636,4636
1642799890,4600,4600
1642801329,4524,4524
1642802048,4526,4526
1642803188,4457,4457
1642804213,4397,4397
1642804569,4383,4383
1642805289,4386,4386
1642807090,4362,4362
1642808888,4305,4305
1642810686,4274,4274
1642811767,4231,4231
1642812486,4233,4233
1642813927,4219,4219
1642814648,4227,4227
1642815370,4192,4192
1642816510,4209,4209
1642818668,4148,4148
1642819328,4146,4146
1642821128,4144,4144
1642821848,4156,4156
1642823048,4120,4120
1642824189,4104,4104
1642824727,4113,4113
1642825821,4083,4083
1642826528,4071,4071
1642827248,4076,4076
1642828327,4049,4049
1642829046,4065,4065
1642830848,4019,4019
1642832649,3990,3990
1642833367,3939,3939
1642834088,3945,3945
1642835887,3944,3944
1642836611,3916,3916
1642837689,3931,3931
1642838767,3909,3909
1642840569,3891,3891
1642841287,3903,3903
1642841647,3905,3905
1642842368,3892,3892
1642844168,3824,3824
1642844887,3834,3834
1642846688,3827,3827
1642847411,3813,3813
1642848488,3818,3818
1642849566,3824,3824
1642850287,3850,3850
1642851011,3843,3843
1642851728,3840,3840
1642853527,3823,3823
1642854610,3790,3790
1642855327,3798,3798
1642855687,3803,3803
1642856827,3788,3788
1642857128,3796,3796
1642858927,3776,3776
1642860126,3824,3824
1642861087,3905,3905
1642861455,3910,3910
1642862528,3876,3876
1642863727,3871,3871
1642863967,3874,3874
1642865769,3883,3883
1642866128,3886,3886
1642866848,3900,3900
1642867567,3882,3882
1642867926,3886,3886
1642869728,3857,3857
1642870447,3873,3873
1642871529,3873,3873
1642871888,3882,3882
1642872968,3862,3862
1642873328,3867,3867
