DateTime,Entries,UniqueIPs
1642726446,13778,13778
1642727165,13742,13742
1642727886,13756,13756
1642728609,13703,13703
1642729325,13702,13702
1642730046,13719,13719
1642731846,13691,13691
1642733286,13622,13622
1642735086,13604,13604
1642735813,13558,13558
1642736169,13551,13551
1642737966,13540,13540
1642738688,13550,13550
1642739417,13503,13503
1642740846,13532,13532
1642741565,7967,7967
1642742287,13517,13517
1642742647,13525,13525
1642744446,13513,13513
1642745166,13499,13499
1642745526,13504,13504
1642746246,13513,13513
1642746965,13485,13485
1642747327,13488,13488
1642748046,13506,13506
1642748782,7967,7967
1642749486,13506,13506
1642750612,13508,13508
1642750927,13513,13513
1642751646,13532,13532
1642752367,13534,13534
1642753087,13546,13546
1642754166,13533,13533
1642754885,13536,13536
1642756685,13543,13543
1642757053,13556,13556
1642758127,13547,13547
1642760286,13494,13494
1642761010,13479,13479
1642761365,13475,13475
1642762508,13479,13479
1642763166,13476,13476
1642764967,13324,13324
1642765686,13337,13337
1642766767,13325,13325
1642768209,13326,13326
1642769288,13323,13323
1642769646,13330,13330
1642770725,13315,13315
1642771085,13326,13326
1642772169,13305,13305
1642772886,13316,13316
1642773247,13320,13320
1642774326,13286,13286
1642775048,13297,13297
1642775768,13247,13247
1642776487,13253,13253
1642776846,13257,13257
1642778646,13227,13227
1642779366,13176,13176
1642780085,13189,13189
1642780820,13134,13134
1642781525,13150,13150
1642781888,13155,13155
1642783328,13084,13084
1642784046,13088,13088
1642784766,13062,13062
1642785907,13069,13069
1642787045,13005,13005
1642788367,12958,12958
1642788727,12960,12960
1642789867,12909,12909
1642790167,12896,12896
1642790886,12898,12898
1642791967,12842,12842
1642792686,12850,12850
1642793051,12856,12856
1642794126,12797,12797
1642795217,12752,12752
1642795926,12760,12760
1642797010,12699,12699
1642797727,12676,12676
1642798086,12682,12682
1642799167,12636,12636
1642799888,12645,12645
1642801327,12567,12567
1642802046,12569,12569
1642803186,12500,12500
1642804211,12440,12440
1642804567,12427,12427
1642805287,12431,12431
1642807088,12408,12408
1642808886,12348,12348
1642810685,12318,12318
1642811765,7967,7967
1642812485,12277,12277
1642813926,12262,12262
1642814646,12270,12270
1642815367,12235,12235
1642816508,12252,12252
1642818666,12190,12190
1642819326,12188,12188
1642821126,12184,12184
1642821846,12196,12196
1642823046,12159,12159
1642824186,12144,12144
1642824726,12153,12153
1642825818,12123,12123
1642826526,12111,12111
1642827246,12116,12116
1642828326,12089,12089
1642829045,12105,12105
1642830846,12056,12056
1642832647,12026,12026
1642833366,11975,11975
1642834086,11981,11981
1642835886,11983,11983
1642836609,11955,11955
1642837687,11970,11970
1642838766,11949,11949
1642840566,11931,11931
1642841285,11942,11942
1642841646,11944,11944
1642842366,11933,11933
1642844166,11865,11865
1642844885,11875,11875
1642846686,11870,11870
1642847409,11855,11855
1642848486,11860,11860
1642849565,11865,11865
1642850286,11892,11892
1642851009,11885,11885
1642851726,11882,11882
1642853526,11865,11865
1642854609,11834,11834
1642855326,11843,11843
1642855685,11847,11847
1642856825,11830,11830
1642857127,11839,11839
1642858925,11819,11819
1642860125,11867,11867
1642861085,11952,11952
1642861452,11957,11957
1642862526,11923,11923
1642863726,11917,11917
1642863964,11920,11920
1642865767,11927,11927
1642866127,11930,11930
1642866846,11944,11944
1642867566,11924,11924
1642867925,11928,11928
1642869725,11898,11898
1642870445,11914,11914
1642871527,11913,11913
1642871886,11923,11923
1642872967,11904,11904
1642873326,11909,11909
1642874524,11895,11895
1642874766,11897,11897
1642876926,11879,11879
1642877286,11880,11880
1642878426,11874,11874
1642879085,11882,11882
1642879816,11860,11860
1642880527,11865,11865
1642880885,11872,11872
1642882686,11874,11874
1642883409,11850,11850
1642884486,11858,11858
1642885565,11863,11863
1642886286,11880,11880
1642887365,11846,11846
1642888445,11871,11871
1642889166,11849,11849
1642889887,11871,11871
1642890609,11856,11856
1642892420,11869,11869
1642892770,11887,11887
1642893487,12200,12200
1642895286,12197,12197
1642897085,12216,12216
1642897810,12202,12202
1642898165,12206,12206
1642899246,12229,12229
1642899966,12220,12220
1642900685,12236,12236
1642901410,12215,12215
1642902486,12244,12244
1642902846,12254,12254
1642903925,12234,12234
1642905009,12231,12231
1642905726,12236,12236
1642906446,12257,12257
1642908609,12256,12256
1642909326,12263,12263
1642910045,12283,12283
1642912212,12255,12255
1642912925,12261,12261
1642913647,12267,12267
1642914366,12269,12269
1642915085,12281,12281
1642916166,12262,12262
1642916886,12277,12277
1642917247,12280,12280
1642918687,12291,12291
1642919408,12279,12279
1642919767,12283,12283
1642921566,12295,12295
1642922285,12306,12306
1642922646,12314,12314
1642924446,12299,12299
1642926245,12320,12320
1642927686,12301,12301
1642928766,12283,12283
1642930213,12289,12289
1642931286,12296,12296
1642931646,12299,12299
1642932365,12290,12290
1642933507,12349,12349
1642934166,12314,12314
1642935245,12328,12328
1642935968,12331,12331
1642936685,12340,12340
1642937410,12319,12319
1642937766,12312,12312
1642938486,12331,12331
1642938846,12338,12338
1642941009,12332,12332
1642942816,12333,12333
1642944248,12358,12358
1642945327,12337,12337
1642946047,12351,12351
1642946766,12352,12352
1642947127,12362,12362
1642948212,12357,12357
1642948927,12343,12343
1642949645,12358,12358
1642950365,12358,12358
1642951086,12367,12367
1642952886,12363,12363
1642954147,12370,12370
1642955046,12402,12402
1642956486,12407,12407
1642958286,12449,12449
1642959007,12437,12437
1642960446,12477,12477
1642961166,12488,12488
1642961526,12499,12499
1642962967,12518,12518
1642963686,12527,12527
1642965486,12566,12566
1642966214,12573,12573
1642967288,12605,12605
