DateTime,AddedIPs,RemovedIPs
1642716725,17,1
1642717809,31,22
1642718527,18,7
1642720325,62,27
1642721050,18,0
1642722127,26,35
1642722845,12,1
1642723925,28,24
1642725011,27,26
1642725366,9,5
1642726445,26,4
1642727165,17,26
1642727885,14,3
1642728607,20,28
1642729324,21,3
1642730044,18,0
1642731845,41,27
1642733285,27,41
1642735085,36,23
1642735811,23,33
1642736167,10,12
1642737965,46,34
1642738687,17,1
1642739414,16,27
1642740845,31,13
1642741564,14,24
1642742286,20,3
1642742646,5,1
1642744445,47,41
1642745165,20,18
1642745525,10,0
1642746245,13,4
1642746964,18,39
1642747326,9,5
1642748045,24,3
1642749485,24,26
1642750611,17,38
1642750925,5,2
1642751645,39,1
1642752366,12,53
1642753085,14,0
1642754165,21,64
1642754884,20,8
1642756684,34,14
1642757051,12,1
1642758126,26,35
1642760285,42,25
1642761364,17,21
1642762506,23,7
1642763165,28,18
1642764244,36,1
1642764965,19,28
1642765684,14,0
1642766765,17,27
1642768207,30,37
1642769286,21,12
1642769645,10,0
1642770724,20,35
1642771084,14,1
1642772168,21,33
1642772885,14,0
1642773246,5,0
1642774325,30,16
1642775047,14,0
1642775766,18,22
1642776486,15,3
1642776845,7,0
1642778645,29,22
1642779365,11,31
1642780084,8,1
1642780818,19,16
1642781524,6,0
1642781886,3,1
1642783326,28,33
1642784045,9,3
1642784765,10,38
1642785905,23,2
1642787044,33,42
1642787286,3,0
1642788365,16,19
1642788726,4,1
1642789865,26,25
1642790166,5,6
1642790885,7,4
1642791965,22,18
1642792685,9,1
1642793050,6,1
1642794125,22,24
1642795216,22,31
1642795925,4,2
1642797009,17,44
1642797726,21,13
1642798085,13,0
1642799166,11,23
1642799886,20,1
1642801326,32,54
1642802045,12,3
1642803185,18,30
1642804210,16,40
1642804566,3,6
1642805285,9,3
1642807086,22,29
1642808885,32,36
1642810684,32,37
1642811764,17,25
1642812484,8,3
1642813925,25,26
1642814645,20,2
1642815365,15,52
1642816507,19,3
1642818665,26,71
1642819325,16,17
1642821125,27,23
1642821845,13,2
1642823045,21,41
1642824186,12,29
1642824725,10,0
1642825816,13,39
1642826525,15,9
1642827245,12,0
1642828325,15,30
1642829044,15,0
1642830844,26,51
1642832646,23,37
1642833365,14,88
1642834084,10,105
1642835884,27,21
1642836606,14,43
1642837685,27,7
1642838765,25,43
1642840565,33,47
1642841284,16,6
1642841645,10,1
1642842364,7,32
1642844165,25,91
1642844885,11,1
1642846685,79,39
1642847408,12,51
1642848485,24,22
1642849564,17,32
1642851008,23,38
1642851725,15,14
1642853525,36,42
1642854607,26,43
1642855325,12,13
1642855684,2,0
1642856825,13,26
1642857126,7,0
1642858924,33,52
1642860124,16,39
1642861084,10,2
1642861451,5,0
1642862525,10,46
1642863725,16,25
1642863963,9,0
1642865766,31,46
1642866125,8,1
1642866845,10,0
1642867565,12,39
1642867924,7,0
1642869725,25,56
1642870444,9,2
1642871525,13,43
1642871885,6,0
1642872966,14,48
1642873325,5,0
1642874523,19,47
1642874765,4,1
1642876925,35,53
1642877285,10,0
1642878425,21,36
1642879084,16,0
1642879815,14,42
1642880884,16,12
1642882685,29,44
1642883407,16,59
1642884485,15,14
1642886285,34,42
1642887364,21,53
1642888444,12,1
1642889165,6,49
1642889885,17,0
1642890608,12,41
1642892418,38,47
1642892768,9,1
1642893486,40,2
1642895284,29,56
1642897084,36,33
1642897809,10,43
1642898165,3,6
1642899245,14,8
1642899965,17,40
1642900684,20,2
1642901408,26,42
1642902485,22,12
1642902845,11,0
1642903924,32,37
1642905007,31,51
1642905725,15,15
1642906444,14,1
1642908607,45,84
1642909325,13,13
1642910043,14,2
1642912211,52,82
1642912924,8,27
1642913646,11,1
1642914364,6,41
1642915084,13,0
1642916165,21,73
1642916884,16,0
1642917246,8,0
1642918686,33,43
1642919407,15,51
1642919766,6,12
1642921565,35,74
1642922283,13,0
1642922645,5,0
1642924445,32,66
1642926244,56,38
1642927685,52,78
1642930211,72,94
1642931285,23,14
1642931644,8,1
1642932364,21,59
1642933506,30,0
1642934164,42,104
1642935244,23,14
1642935966,13,55
1642936684,18,1
1642937408,24,55
1642937765,6,12
1642938485,16,1
1642938844,8,0
1642941007,49,107
1642942813,38,55
1642944247,35,0
1642945325,27,76
1642946046,18,0
1642946765,29,72
1642947125,3,2
1642948210,31,48
1642948926,19,25
1642949644,10,2
1642950364,10,53
1642951085,14,1
1642952885,41,71
1642954144,37,49
1642955045,23,1
1642956485,26,80
1642958285,53,50
1642959005,256,58
1642960445,29,19
1642961525,21,40
1642962966,29,68
1642963685,16,11
1642965484,31,34
1642966211,16,47
1642967287,29,9
1642968365,22,43
1642969085,13,1
1642969445,7,0
1642970166,16,58
1642970885,16,8
1642971614,12,42
1642972326,18,0
1642973407,24,38
1642975565,46,46
1642976284,16,3
1642977365,17,50
1642978084,10,7
1642978445,9,2
1642979164,18,21
1642979885,16,1
1642981325,23,61
1642982045,23,2
1642983845,42,38
1642984209,12,46
1642984924,23,19
1642985285,11,1
1642986725,31,27
1642987445,14,1
1642988165,23,50
1642988886,26,0
1642989245,5,1
1642989964,25,28
1642990685,14,1
1642991305,11,2
1642992484,30,57
1642993925,35,30
1642995053,31,37
1642995366,4,8
1642996446,23,1
1642997525,24,37
1642998244,27,1
1642998965,18,43
1642999324,6,5
1643000045,15,2
1643001845,32,31
1643003644,38,45
1643005447,53,36
1643005808,10,31
1643006525,27,19
1643007724,31,25
1643008324,11,0
1643009766,32,54
