DateTime,AddedIPs,RemovedIPs
1642534931,1,0
1642536369,4,0
1642537090,1,0
1642537812,3,0
1642538530,2,0
1642540331,2,0
1642541773,0,1
1642542850,5,0
1642545848,2,0
1642547529,4,0
1642548616,2,1
1642549330,2,0
1642550050,1,0
1642550770,1,0
1642552570,5,0
1642553649,3,0
1642554790,3,0
1642555814,1,1
1642556529,1,0
1642556890,2,0
1642558688,1,1
1642559413,1,0
1642560128,1,0
1642560850,2,0
1642562648,2,0
1642563790,2,0
1642564930,4,0
1642565891,2,0
1642566255,1,0
1642567330,2,1
1642568049,1,0
1642570269,2,0
1642572730,3,1
1642573449,2,0
1642573813,1,0
1642575624,6,0
1642576689,1,0
1642578970,6,0
1642579570,1,0
1642581370,2,0
1642582449,2,0
1642583530,2,0
1642584253,1,0
1642585689,1,0
1642588212,2,0
1642588930,1,0
1642590370,1,0
1642592171,1,1
1642592889,1,0
1642595048,4,0
1642595769,1,3
1642596491,2,0
1642596851,2,0
1642598648,1,2
1642599372,0,2
1642600448,1,0
1642601169,3,2
1642601891,1,0
1642602618,1,1
1642603690,1,2
1642605487,1,2
1642607289,5,3
1642609089,2,3
1642610891,4,1
1642612329,1,1
1642613414,0,2
1642614488,1,0
1642615629,2,5
1642617370,1,2
1642618091,0,1
1642619529,4,3
1642620615,0,3
1642621750,1,0
1642623491,5,4
1642624212,2,4
1642624930,0,1
1642625650,1,0
1642626024,2,1
1642627814,1,4
1642628171,1,0
1642629250,3,0
1642629969,1,2
1642632128,4,7
1642633329,2,0
1642633570,2,0
1642635371,4,1
1642637530,8,1
1642638250,5,0
1642639388,7,3
1642640530,3,1
1642641490,3,0
1642642215,1,1
1642642571,0,1
1642644369,6,3
1642645091,4,0
1642645814,4,5
1642646889,4,0
1642647251,2,0
1642647970,1,0
1642648689,3,0
1642649415,5,5
1642650130,3,0
1642650489,1,0
1642652291,4,2
1642653369,1,3
1642653729,2,0
1642654449,4,0
1642655170,2,1
1642656248,4,0
1642657329,1,6
1642658049,3,0
1642658771,2,2
1642660570,4,3
1642661650,2,0
1642663449,3,5
1642664527,11,0
1642665249,3,0
1642666330,4,2
1642667048,4,0
1642667413,1,3
1642668132,5,1
1642670289,4,0
1642671017,2,3
1642671731,5,0
1642672090,1,0
1642673169,3,2
1642674614,3,1
1642676770,6,2
1642678570,2,3
1642679287,2,0
1642681090,2,1
1642681812,2,3
1642683250,6,0
1642683970,3,1
1642684689,2,0
1642685413,1,2
1642687569,3,0
1642688290,1,0
1642689018,1,1
1642690089,1,1
1642691889,4,1
1642692970,3,1
1642694046,2,0
1642694769,2,4
1642696213,3,0
1642696930,2,0
1642697649,2,0
1642699449,4,2
1642700169,1,3
1642700530,2,0
1642702327,2,1
1642703050,1,0
1642703770,0,1
1642705570,3,0
1642705931,1,0
1642706652,1,0
1642708450,2,5
1642709168,0,2
1642709890,1,0
1642711331,0,1
1642712049,2,0
1642712772,2,0
1642714569,1,1
1642716730,1,0
1642720330,4,1
1642721058,2,0
1642723931,0,1
1642725016,2,2
1642727169,1,1
1642727889,1,0
1642728612,1,1
1642730049,1,0
1642731850,2,1
1642733289,4,0
1642735090,2,0
1642735819,2,2
1642736172,2,0
1642737971,2,1
1642739421,1,0
1642741568,1,0
1642742650,1,0
1642745169,2,1
1642746249,3,0
1642746969,0,3
1642748049,2,0
1642748939,2,0
1642750615,0,1
1642750930,1,0
1642752370,1,1
1642754169,0,1
1642754888,1,0
1642756688,1,0
1642758131,2,0
1642760289,1,1
1642761368,1,0
1642764970,2,0
1642765689,1,0
1642766770,1,1
1642769291,3,0
1642769649,1,0
1642772172,1,4
1642772889,2,0
1642773251,2,0
1642774330,3,1
1642775052,1,0
1642775771,1,0
1642776491,1,0
1642776850,1,0
1642780088,1,0
1642780824,1,0
1642781529,1,0
1642781890,1,0
1642783331,2,0
1642785910,1,0
1642787048,1,0
1642788370,1,0
1642791970,1,0
1642797012,0,1
1642797730,1,0
1642801331,1,3
1642803190,1,0
1642808889,1,0
1642810687,0,2
1642811769,0,2
1642812487,1,0
1642815371,0,2
1642818670,0,3
1642819329,0,2
1642821129,1,1
1642823049,1,2
1642824190,0,1
1642825823,1,0
1642828328,0,2
1642829048,1,0
1642830850,1,0
1642833369,1,3
1642834089,0,7
1642836612,0,3
1642837690,1,1
1642838769,0,1
1642842369,0,1
1642844169,1,1
1642847413,1,0
1642849568,0,2
1642851729,1,0
1642853529,1,2
1642854612,2,0
1642855328,0,1
1642858929,0,1
1642860128,0,1
1642862530,0,2
1642863728,0,2
1642865770,1,2
1642867569,0,4
1642869729,0,3
1642872969,2,0
1642876929,1,1
1642878429,1,3
1642879089,1,0
1642879820,0,3
1642880530,0,1
1642882689,0,2
1642884489,0,3
1642886290,0,3
1642887368,1,0
1642889170,1,5
1642889891,1,0
1642890613,0,1
1642892427,2,2
1642892776,1,0
1642893491,1,0
1642895289,0,2
1642897087,0,3
1642898168,0,3
