DateTime,AddedIPs,RemovedIPs
1642796524,5,0
1642797181,25,35
1642797725,6,0
1642798324,1,0
1642799524,10,0
1642800124,5,1
1642800782,3,0
1642801325,5,0
1642802525,29,27
1642803125,5,0
1642803724,3,0
1642804324,1,0
1642806124,47,50
1642806724,2,1
1642807325,1,0
1642807982,2,0
1642809124,2,0
1642809724,2,1
1642810924,1,0
1642811582,45,37
1642812125,1,0
1642812724,1,0
1642813329,57,30
1642814525,2,2
1642815725,1,0
1642816324,2,0
1642816924,1,0
1642818781,30,33
1642819325,2,0
1642819925,1,0
1642820525,2,0
1642822436,40,46
1642822925,1,0
1642823525,3,0
1642824124,2,0
1642825324,1,0
1642827125,1,0
1642827724,59,62
1642828325,2,0
1642828924,2,0
1642830125,3,3
1642830724,3,1
1642832524,0,1
1642833182,72,69
1642834925,68,72
1642835525,3,0
1642836124,1,0
1642836783,2,0
1642837325,1,0
1642837924,1,0
1642838524,80,89
1642839725,2,0
1642842124,30,24
1642843982,0,1
1642845724,4,0
1642846325,4,0
1642846924,3,0
1642847581,2,0
1642848725,1,0
1642849324,54,38
1642850524,1,1
1642852324,11,0
1642852924,58,44
1642853525,2,1
1642854124,1,0
1642854725,1,0
1642855326,1,0
1642855924,3,0
1642856524,3,0
1642857125,1,0
1642857724,2,0
1642858381,22,27
1642860725,1,0
1642861324,1,0
1642861981,1,0
1642862525,0,1
1642863124,1,0
1642863725,5,0
1642864924,2,0
1642865582,41,41
1642866125,1,0
1642868525,2,0
1642869181,0,1
1642870924,28,26
1642871525,1,0
1642872781,1,0
1642873326,1,0
1642874561,33,28
1642875125,1,0
1642875724,1,0
1642876384,34,59
1642876925,3,0
1642877524,2,0
1642878124,2,1
1642879324,1,2
1642879982,1,0
1642881124,5,0
1642881724,18,2088
1642882324,1,0
1642882924,2072,0
1642883581,0,1
1642884724,42,32
1642885324,1,1
1642886523,1,0
1642887725,1,1
1642888324,6,0
1642888924,31,24
1642890124,4,0
1642890782,27,37
1642891325,1,2
1642893125,3,0
1642893724,0,5
1642894381,3,1
1642896124,80,39
1642896726,17,0
1642897325,4,0
1642897981,32,48
1642898525,1,0
1642899124,0,1
1642899725,48,28
1642900925,26,0
1642901581,3,0
1642902125,3,0
1642902725,3,0
1642903324,55,39
1642903926,7,0
1642904524,10,0
1642905726,26,0
1642906324,7,0
1642906924,27,1244
1642907525,6,0
1642908124,4,0
1642908781,31,917
1642909325,1,0
1642909925,2105,0
1642910525,3,0
1642911125,4,0
1642911724,13,0
1642912925,5,1
1642913525,52,63
1642914124,4,0
1642915324,4,0
1642915925,7,0
1642916525,20,0
1642917124,5,1
1642917725,59,50
1642918925,6,0
1642919581,46,30
1642920125,3,0
1642920724,2,0
1642921324,20,0
1642922524,9,0
1642923181,5,0
1642923725,5,0
1642924325,3,0
1642924946,25,25
1642925526,8,0
1642926125,3,0
1642926781,23,30
1642927326,5,0
1642927925,3,0
1642928524,12,0
1642929724,5,1
1642930927,5,0
1642931524,9,0
1642932126,26,32
1642932728,3,0
1642933324,7,0
1642933982,37,26
1642934526,3,1
1642935125,10,0
1642936326,7,0
1642936924,2,0
1642937581,1,0
1642938126,2,0
1642938725,1,0
1642939325,58,36
1642939926,23,0
1642940525,1,0
1642941726,1,1
1642942324,1,0
1642943526,5,0
1642944125,1,0
1642945925,24,0
1642946524,2,0
1642947725,3,0
1642948926,4,0
1642949524,4,1
1642950125,45,52
1642950726,2,0
1642951324,2,1
1642951981,6,0
1642952526,4,0
1642953124,17,1
1642953724,36,54
1642954326,3,0
1642954924,2,0
1642955581,57,21
1642957324,5,0
1642957926,8,0
1642958524,3,0
1642959181,29,24
1642959726,1,0
1642960325,5,0
1642962125,2,1
1642962781,1,0
1642963327,2,1
1642963925,1,0
1642964526,26,22
1642965725,1,0
1642966926,1,0
1642967525,2,1
1642968124,25,39
1642968726,1,0
1642969325,7,0
1642970526,1,0
1642971124,11,1
1642971726,26,707
1642972327,3,0
1642972924,7,0
1642973581,682,0
1642974127,28,0
1642974725,33,17
1642975324,39,31
1642975926,3,0
1642976524,8,0
1642977727,2,0
1642978326,16,0
1642978925,22,0
1642980125,11,0
1642980781,7,0
1642981326,7,0
1642981924,25,0
1642982526,39,354
1642983126,9,0
1642983725,4,1
1642984382,324,0
1642984926,2,0
1642985524,55,30
1642986125,5,0
1642986726,1,0
1642987324,5,0
1642987981,4,0
1642988527,1,0
1642989125,52,41
1642989724,37,44
1642990925,7,0
1642991581,2,0
1642992128,8,0
1642992725,1,0
1642993325,10,1
1642993927,4,0
1642994525,3,0
1642995726,9,0
1642996324,7,1
1642996964,57,55
1642997527,16,1
1642998784,64,66
1642999327,12,0
1642999925,9,0
1643000524,4,0
1643001724,7,0
1643002926,4,0
1643003524,1,0
1643004125,76,66
1643005325,3,0
1643005982,2,1
1643006527,2,0
1643007124,4,0
1643007725,2,0
1643008327,4,0
1643009581,33,34
1643010126,1,0
1643010724,2,0
1643011325,1,0
1643012524,2,0
1643013182,31,42
1643013726,2,0
1643014325,4,0
1643014925,2,0
1643015526,1,2
1643016124,4,0
1643016782,2,0
1643017328,1,1
1643018525,44,24
1643019724,5,1
1643020381,11,0
1643020927,2,0
1643021525,3,0
1643022149,26,21
1643022726,4,0
1643023324,2,4
1643023981,2,0
1643024525,4,0
1643025124,2,1
1643025725,29,71
1643026326,3,0
1643026924,5,0
1643027581,3,0
1643028126,0,1
1643028725,0,1
1643029308,61,24
1643029926,1,1
1643031727,6,0
1643032324,2,0
1643032925,41,33
1643034125,3,0
1643034782,30,20
1643035326,6,0
1643035924,6,0
1643036525,35,29
1643037127,1,0
1643038381,30,0
1643038925,6,0
1643039525,4,1
1643040125,1,0
1643040726,1,0
1643041325,5,0
1643041983,2,0
1643042527,0,1
1643043124,2,0
1643043724,40,30
1643044924,3,0
1643045582,25,27
1643046126,2,0
1643047324,1,0
1643048524,1,1
1643049182,32,33
1643049726,5,0
1643050324,4,0
1643050924,3,0
1643052124,0,3
1643052781,29,28
1643053326,7,1
1643053924,6,0
1643054525,10,0
1643055126,4,0
1643055724,4,0
1643056382,39,28
1643057525,4,1
1643059326,1,1
1643059981,2,0
1643061124,1,0
1643061724,49,57
1643062924,1,0
1643064125,8,0
1643064725,2,0
1643065324,3,0
1643066524,4,0
1643067181,29,33
1643067727,3,0
1643068925,3,1
1643069525,5,0
1643070124,3,0
1643070781,65,36
1643071924,13,0
1643072524,4,0
1643073126,1,1
1643074926,3,0
1643075524,3,0
1643076124,54,32
1643076725,2,0
1643077325,1,0
1643078527,3,0
1643079125,2,0
1643080326,1,0
1643081584,37,42
1643082127,2,0
1643082724,39,49
1643083926,1,0
1643084524,1,0
1643085183,2,1
1643086325,86,64
1643086924,2,0
1643087527,2,1
1643088124,2,0
1643089924,49,49
1643090524,1,0
1643091725,4,0
1643092926,3,0
1643093524,19,0
1643094125,47,37
1643094727,0,1
1643095324,11,0
1643095981,31,28
1643096526,1,0
1643097124,2,0
1643098924,0,1
1643099582,28,39
1643100126,2,0
1643100724,2,0
1643101324,5,0
1643103182,37,24
1643103726,1,0
1643104924,1,0
1643105526,1,0
1643106124,11,0
1643106782,25,32
1643107326,3,0
1643108524,6,0
1643109724,1,0
1643110381,32,70
1643112125,30,43
1643112725,5,0
1643113324,1,0
1643114527,3,1
1643115725,1,0
1643116326,2,0
1643118126,5,0
1643118724,2,0
1643119324,66,54
1643119927,7,0
1643121184,1,0
1643121726,4,1
1643122924,1,0
1643123525,4,0
1643124124,1,0
1643124782,42,40
1643125326,1,0
1643125924,1,0
1643126542,42,36
1643127126,2,0
1643127725,2,0
1643128927,3,0
1643130125,39,30
1643131325,5,0
1643132526,4,0
1643133725,1,0
1643134326,1,0
1643135582,4,0
1643136126,5,0
1643137324,34,39
1643138525,9,0
1643139726,2,0
1643140324,5,0
1643140924,34,28
1643141525,4,0
1643143326,3,0
1643143924,5,0
1643144524,42,49
1643145724,6,0
1643147525,2,0
1643148125,45,32
1643148727,3,0
1643149325,5,0
1643149981,32,27
1643150525,4,0
1643151124,3,0
1643151725,1,0
1643152325,2,0
1643152924,1,0
1643153525,1,0
1643154125,1,0
1643154724,1,0
1643155325,30,36
1643156525,3,0
1643157726,1,0
1643158324,2,1
1643158925,58,33
1643160124,1,0
1643160781,1,0
1643162524,50,1234
1643163125,6,0
1643163724,1,0
1643164381,1215,0
1643164926,2,0
1643165524,32,32
1643166726,3,1
1643167324,1,0
1643168526,49,60
1643169124,2,0
1643170924,5,0
1643171581,54,50
1643172126,2,0
1643172725,1,0
1643173324,2,0
1643173926,1,0
1643175181,47,46
1643176325,2,0
1643176924,3,0
1643178124,2,0
1643178781,49,39
1643179325,3,0
1643180524,0,1
1643181724,2,0
1643182325,3,0
1643182926,1,0
1643184125,22,43
1643184725,6,1
1643185324,1,0
1643186525,1,0
1643187124,6,1
1643187724,44,24
1643189581,32,27
1643190127,3,0
1643190725,2,0
1643192524,4,0
1643194324,5,0
1643194924,26,26
1643196124,1,0
