DateTime,Entries,UniqueIPs
1642796524,1937384,1986376
1642797181,1937375,1986366
1642797725,1937381,1986372
1642798324,1937382,1986373
1642799524,1937390,1986383
1642800124,1937394,1986387
1642800782,1937396,1986390
1642801325,1937401,1986395
1642802525,1937400,1986397
1642803125,1937405,1986402
1642803724,1937408,1986405
1642804324,1937409,1986406
1642806124,1937406,1986403
1642806724,1937406,1986404
1642807325,1937407,1986405
1642807982,1937404,1986407
1642809124,1937406,1986409
1642809724,1937407,1986410
1642810924,1937408,1986411
1642811582,1937418,1986419
1642812125,1937418,1986420
1642812724,1937419,1986421
1642813329,1937446,1986448
1642814525,1937447,1986448
1642815725,1937448,1986449
1642816324,1937450,1986451
1642816924,1937451,1986452
1642818781,1937448,1986449
1642819325,1937449,1986451
1642819925,1937450,1986452
1642820525,1937452,1986454
1642822436,1937446,1986448
1642822925,1937446,1986449
1642823525,1937449,1986452
1642824124,1937449,1986454
1642825324,1937450,1986455
1642827125,1937450,1986456
1642827724,1937447,1986453
1642828325,1937449,1986455
1642828924,1937451,1986457
1642830125,1937450,1986457
1642830724,1937450,1986459
1642832524,1937449,1986458
1642833182,1937452,1986461
1642834925,1937450,1986457
1642835525,1937452,1986460
1642836124,1937453,1986461
1642836783,1937455,1986463
1642837325,1937456,1986464
1642837924,1937457,1986465
1642838524,1937448,1986456
1642839725,1937450,1986458
1642842124,1937457,1986464
1642843982,1937456,1986463
1642845724,1937458,1986467
1642846325,1937461,1986471
1642846924,1937464,1986474
1642847581,1937465,1986476
1642848725,1937466,1986477
1642849324,1937482,1986493
1642850524,1937484,1986493
1642852324,1937492,1986504
1642852924,1937505,1986518
1642853525,1937506,1986519
1642854124,1937507,1986520
1642854725,1937507,1986521
1642855326,1937508,1986522
1642855924,1937509,1986525
1642856524,1937512,1986528
1642857125,1937512,1986529
1642857724,1937514,1986531
1642858381,1937512,1986526
1642860725,1937513,1986527
1642861324,1937514,1986528
1642861981,1937515,1986529
1642862525,1937514,1986528
1642863124,1937515,1986529
1642863725,1937517,1986534
1642864924,1937519,1986536
1642865582,1937521,1986536
1642866125,1937522,1986537
1642868525,1937523,1986539
1642869181,1937523,1986538
1642870924,1937525,1986540
1642871525,1937526,1986541
1642872781,1937527,1986542
1642873326,1937527,1986543
1642874561,1937532,1986548
1642875125,1937533,1986549
1642875724,1937534,1986550
1642876384,1937510,1986525
1642876925,1937511,1986528
1642877524,1937512,1986530
1642878124,1937515,1986531
1642879324,1937519,1986530
1642879982,1937520,1986531
1642881124,1937525,1986536
1642881724,1935592,1984466
1642882324,1935593,1984467
1642882924,1937526,1986539
1642883581,1937527,1986538
1642884724,1937536,1986548
1642885324,1937537,1986548
1642886523,1937538,1986549
1642887725,1937538,1986549
1642888324,1937544,1986555
1642888924,1937547,1986562
1642890124,1937551,1986566
1642890782,1937544,1986556
1642891325,1937543,1986555
1642893125,1937546,1986558
1642893724,1937545,1986553
1642894381,1937547,1986555
1642896124,1937586,1986596
1642896726,1937603,1986613
1642897325,1937607,1986617
1642897981,1937591,1986601
1642898525,1937592,1986602
1642899124,1937591,1986601
1642899725,1937611,1986621
1642900925,1937636,1986647
1642901581,1937639,1986650
1642902125,1937642,1986653
1642902725,1937645,1986656
1642903324,1937661,1986672
1642903926,1937666,1986679
1642904524,1937676,1986689
1642905726,1937701,1986715
1642906324,1937706,1986722
1642906924,1936575,1985505
1642907525,1936579,1985511
1642908124,1936582,1985515
1642908781,1935755,1984629
1642909325,1935756,1984630
1642909925,1937720,1986735
1642910525,1937721,1986738
1642911125,1937724,1986742
1642911724,1937736,1986755
1642912925,1937739,1986759
1642913525,1937727,1986748
1642914124,1937730,1986752
1642915324,1937734,1986756
1642915925,1937739,1986763
1642916525,1937755,1986783
1642917124,1937759,1986787
1642917725,1937764,1986796
1642918925,1937770,1986802
1642919581,1937785,1986818
1642920125,1937787,1986821
1642920724,1937789,1986823
