DateTime,AddedIPs,RemovedIPs
1642760284,78,113
1642761363,6,20149
1642761847,27,36
1642763163,20152,7
1642763789,15,1234
1642764242,48,0
1642764963,27,373
1642765930,49,41
1642766763,32,51
1642767848,590,0
1642768205,64,72
1642769284,30,24
1642769787,18,9
1642770723,45,65
1642771687,48,25
1642772166,33,89
1642772884,26,0
1642773608,20,21
1642774323,58,79
1642775043,29,0
1642775547,23,32
1642775764,29,105
1642776484,23,7
1642777449,35,14
1642778643,43,66
1642779389,26,14
1642780083,302,612
1642780815,31,84
1642781284,21,21
1642781523,23,0
1642781884,9,0
1642783447,28,27
1642784043,75,149
1642785368,46,101
1642785903,35,0
1642787310,69,150
1642788363,36,85
1642789207,14,19
1642789863,48,109
1642791367,48,66
1642791963,274,87
1642792684,22,0
1642793307,15,23
1642794123,52,106
1642795453,62,117
1642795924,15,255
1642797006,33,114
1642797389,22,26
1642797724,24,37
1642798084,19,0
1642799300,46,106
1642799884,30,1
1642801229,28,21
1642801325,50,174
1642802044,15,1
1642803130,18,57
1642803183,34,122
1642804206,33,129
1642805046,16,41
1642805283,31,43
1642806993,10,19
1642807084,48,79
1642808887,20,22
1642811053,597,225
1642811763,27,90
1642812483,36,265
1642812988,24,9
1642813923,70,69
1642814893,38,21
1642815364,24,110
1642816505,36,256
1642816829,13,20
1642818733,63,210
1642819323,33,36
1642820647,11,7
1642821123,54,64
1642821843,25,0
1642822591,12,14
1642823043,27,93
1642824183,25,66
1642824725,12,20
1642825805,44,95
1642826669,20,21
1642827243,35,30
1642828573,91,105
1642829043,33,0
1642830747,59,18
1642830843,56,138
1642832646,31,22
1642833363,81,269
1642834082,21,107
1642834808,45,23
1642835883,64,69
1642836764,30,23
1642837683,79,108
1642838672,33,18
1642838763,42,78
1642840568,27,27
1642841283,97,161
1642841644,11,0
1642842733,49,86
1642843444,37,0
1642844163,16,192
1642844670,31,18
1642844883,20,0
1642846566,22,78
1642846684,102,68
1642847405,30,84
1642848730,64,55
1642849562,42,53
1642850671,75,1006
1642851723,38,90
1642852568,35,30
1642853523,73,95
1642854730,551,102
1642855322,32,26
1642855683,6,0
1642856892,67,91
1642857123,17,0
1642858827,38,24
1642858922,61,108
1642860724,535,13
1642861443,445,65
1642862672,24,14
1642863723,63,152
1642864566,36,519
1642865763,80,94
1642866727,38,10
1642866843,29,0
1642867922,35,83
1642868647,24,17
1642869723,59,162
1642870588,36,16
1642871523,71,77
1642872488,40,13
1642872964,36,90
1642873323,11,0
1642874649,63,92
1642874763,6,0
1642876590,20,12
1642876923,69,110
1642877283,11,0
1642878489,49,88
1642879806,54,88
1642880646,19,27
1642880882,40,26
1642882567,14,30
1642882683,77,89
1642883405,29,97
1642884510,297,45
1642886406,101,95
1642887363,49,101
1642888568,66,41
1642889163,31,90
1642889883,49,0
1642890509,15,21
1642890605,29,85
1642892405,17,21
1642892414,102,94
1642892766,22,0
1642893484,346,0
1642894324,14,23
1642895282,68,90
1642896276,393,17
1642897083,88,63
1642898169,13,13
1642900108,126,173
1642900683,39,0
1642901405,36,75
1642902005,16,13
1642902483,56,14
1642902843,20,0
1642904172,52,86
1642905005,53,77
1642906109,37,35
1642906443,35,0
1642908005,10,12
1642908605,88,135
1642909323,26,20
1642909925,9,10
1642910042,30,0
1642911869,10,17
1642912205,93,168
1642912922,20,29
1642913766,9,14
1642914363,37,55
1642915931,67,107
1642917244,61,22
1642917871,11,11
1642918322,53,71
1642918683,18,0
1642919770,47,90
1642921950,123,172
1642922643,37,0
1642923848,10,25
1642924444,74,122
1642926010,21,33
1642926242,87,56
1642927952,11,18
1642929849,108,13611
1642930562,13432,52
1642931283,26,0
1642931791,11,30
1642932362,46,87
1642933689,108,21
1642934163,46,150
1642935242,44,17
1642935633,30,1114
1642936682,56,72
1642937525,17,37
1642938843,99,123
1642939451,628,0
1642941005,88,157
1642941389,26,23
1642942810,72,91
1642943288,34,23
1642944245,59,0
1642945450,53,630
1642946044,31,0
1642947607,83,105
1642948205,48,69
1642949524,44,25
1642949642,60,43
1642950363,35,72
1642951471,74,15
1642952884,98,109
1642953367,46,20
1642954139,80,70
1642955312,299,16
1642956484,168,116
1642957207,34,12
1642959370,466,186
1642960443,107,25
1642961531,119,91
1642963689,379,125
1642965631,182,98
1642966205,0,13239
1642967551,13306,276
1642968363,71,66
1642969471,20,22
1642970163,104,125
1642971369,79,40
1642971610,295,47
