DateTime,AddedIPs,RemovedIPs
1642783924,7,0
1642784524,1,0
1642785125,2,0
1642785724,6,0
1642786381,1,0
1642786924,5,0
1642787524,8,0
1642788124,3,0
1642788725,2,0
1642789324,1,0
1642790525,1,0
1642791124,1,0
1642791724,2,1
1642792326,2,0
1642792924,3,0
1642793581,8,0
1642794125,3,0
1642794724,8,0
1642795324,8,0
1642795925,2,0
1642796524,5,0
1642797725,6,0
1642798324,1,0
1642799524,10,0
1642800124,5,1
1642800782,3,0
1642801325,5,0
1642802525,1,0
1642803125,5,0
1642803724,3,0
1642804324,1,0
1642805524,1,0
1642806124,1,0
1642806724,2,1
1642807325,1,0
1642807982,2,0
1642809124,2,0
1642809724,2,1
1642810924,1,0
1642811582,1,0
1642812125,1,0
1642812724,1,0
1642814525,2,2
1642815725,1,0
1642816324,2,0
1642816924,1,0
1642819325,2,0
1642819925,1,0
1642820525,2,0
1642822925,1,0
1642823525,3,0
1642824124,2,0
1642825324,1,0
1642827125,1,0
1642828325,2,0
1642828924,2,0
1642830125,3,3
1642830724,3,1
1642832524,0,1
1642833182,1,1
1642834925,0,1
1642835525,3,0
1642836124,1,0
1642836783,2,0
1642837325,1,0
1642837924,1,0
1642838524,0,1
1642839725,2,0
1642842124,0,1
1642843982,0,1
1642845724,4,0
1642846325,4,0
1642846924,3,0
1642847581,2,0
1642848725,1,0
1642850524,1,1
1642852324,11,0
1642852924,5,0
1642853525,2,1
1642854124,1,0
1642854725,1,0
1642855326,1,0
1642855924,3,0
1642856524,3,0
1642857125,1,0
1642857724,2,0
1642858381,1,0
1642860725,1,0
1642861324,1,0
1642861981,1,0
1642862525,0,1
1642863124,1,0
1642863725,5,0
1642864924,2,0
1642865582,8,2
1642866125,1,0
1642868525,2,0
1642869181,0,1
1642870924,1,0
1642871525,1,0
1642872781,1,0
1642873326,1,0
1642874524,6,0
1642875125,1,0
1642875724,1,0
1642876384,2,0
1642876925,3,0
1642877524,2,0
1642878124,2,1
1642879324,1,2
1642879982,1,0
1642881124,5,0
1642882324,1,0
1642882924,5,0
1642883581,0,1
1642884724,9,0
1642885324,1,1
1642886523,1,0
1642887725,1,1
1642888324,6,0
1642888924,3,1
1642890124,4,0
1642890782,0,3
1642891325,1,2
1642893125,3,0
1642893724,0,5
1642894381,3,1
1642896124,19,0
1642896726,17,0
1642897325,4,0
1642897981,4,0
1642898525,1,0
1642899124,0,1
1642900925,26,0
1642901581,3,0
1642902125,3,0
1642902725,3,0
1642903324,6,0
1642903926,7,0
1642904524,10,0
1642905726,26,0
1642906324,7,0
1642907525,6,0
1642908124,4,0
1642909325,1,0
1642909925,2,0
1642910525,3,0
1642911125,4,0
1642911724,13,0
1642912925,5,1
1642913525,4,0
1642914124,4,0
1642915324,4,0
1642915925,7,0
1642916525,20,0
1642917124,5,1
1642917725,12,0
1642918925,6,0
1642919581,3,0
1642920125,3,0
1642920724,2,0
1642921324,20,0
1642922524,9,0
1642923181,5,0
1642923725,5,0
1642924325,3,0
1642924925,1,1
1642925526,8,0
1642926125,3,0
1642926781,2,0
1642927326,5,0
1642927925,3,0
1642928524,12,0
1642929724,5,1
1642930927,5,0
1642931524,9,0
1642932126,2,1
1642932728,3,0
1642933324,7,0
1642933982,8,0
1642934526,3,1
1642935125,10,0
1642936326,7,0
1642936924,2,0
1642937581,1,0
1642938126,2,0
1642938725,2,0
1642939325,5,0
1642939926,23,0
1642940525,1,0
1642941726,1,1
1642942324,1,0
1642943526,5,0
1642944125,1,0
1642945925,24,0
1642946524,2,0
1642947725,3,0
1642948926,4,0
1642949524,4,1
1642950125,2,1
1642950726,2,0
1642951324,2,1
1642951981,6,0
1642952526,4,0
1642953124,17,1
1642953724,7,0
1642954326,3,0
1642954924,2,0
1642955581,4,0
1642957324,5,0
1642957926,8,0
1642958524,3,0
1642959726,1,0
1642960325,5,0
1642962125,2,1
1642962781,1,0
1642963327,2,1
1642963925,1,0
1642965725,1,0
1642966926,1,0
1642967525,2,1
1642968726,1,0
1642969325,7,0
1642970526,1,0
1642971124,11,1
1642971726,1,0
1642972327,3,0
1642972924,7,0
1642973581,2,0
1642974127,28,0
1642974725,8,0
1642975324,8,0
1642975926,3,0
1642976524,8,0
1642977727,2,0
1642978326,16,0
1642978925,22,0
1642980125,11,0
1642980781,7,0
1642981326,7,0
1642981924,25,0
1642982526,9,0
1642983126,9,0
1642983725,4,1
1642984382,3,0
1642984926,2,0
1642985524,9,0
1642986125,5,0
1642986726,1,0
1642987324,5,0
1642987981,4,0
1642988527,1,0
1642989125,2,0
1642989724,1,0
1642990925,7,0
1642991581,2,0
1642992128,8,0
1642992725,1,0
1642993325,10,1
1642993927,4,0
1642994525,3,0
1642995726,9,0
1642996324,7,1
1642996925,11,0
1642997527,16,1
1642998784,10,0
1642999327,12,0
1642999925,9,0
1643000524,4,0
1643001724,7,0
1643002926,4,0
1643003524,1,0
1643005325,3,0
1643005982,2,1
1643006527,2,0
1643007124,4,0
1643007725,2,0
1643008327,4,0
1643009581,2,0
1643010126,1,0
1643010724,2,0
1643011325,1,0
1643012524,2,0
1643013182,2,0
1643013726,2,0
1643014325,4,0
1643014925,2,0
1643015526,1,2
1643016124,4,0
1643016782,2,0
1643017328,1,1
1643018525,5,1
1643019724,5,1
1643020381,11,0
1643020927,2,0
1643021525,3,0
1643022124,1,0
1643022726,4,0
1643023324,2,4
1643023981,2,0
1643024525,4,0
1643025124,2,1
1643025725,4,0
1643026326,3,0
1643026924,5,0
1643027581,3,0
1643028126,0,1
1643028725,0,1
1643029926,1,1
1643031727,6,0
1643032324,2,0
1643032925,0,2
1643034125,3,0
1643034782,1,0
1643035326,6,0
1643035924,6,0
1643036525,5,0
1643037127,1,0
1643038381,30,0
1643038925,6,0
1643039525,4,1
1643040125,1,0
1643040726,1,0
1643041325,5,0
1643041983,2,0
1643042527,0,1
1643043124,2,0
1643043724,6,0
1643044924,3,0
1643045582,1,0
1643046126,2,0
1643047324,1,0
1643048524,1,1
1643049182,6,0
1643049726,5,0
1643050324,4,0
1643050924,3,0
1643052124,0,3
1643052781,1,0
1643053326,7,1
1643053924,6,0
1643054525,10,0
1643055126,4,0
1643055724,4,0
1643056382,1,0
1643057525,4,1
1643059326,1,1
1643059981,2,0
1643061124,1,0
1643061724,4,0
1643062924,1,0
1643064125,8,0
1643064725,2,0
1643065324,3,0
1643066524,4,0
1643067727,3,0
1643068925,3,1
1643069525,5,0
1643070124,3,0
1643070781,3,1
1643071924,13,0
1643072524,4,0
1643073126,1,1
1643074926,3,0
1643075524,3,0
1643076124,2,0
1643076725,2,0
1643077325,1,0
1643078527,3,0
1643079125,2,0
1643080326,1,0
1643081584,1,1
1643082127,2,0
1643082724,3,0
1643083926,1,0
1643084524,1,0
1643085183,2,1
1643086325,36,1
1643086924,2,0
1643087527,2,1
1643088124,2,0
