DateTime,AddedIPs,RemovedIPs
1642837325,2,3
1642837924,1,2
1642838524,1,1
1642839725,1,0
1642840925,1,1
1642842124,0,2
1642843924,0,3
1642845724,6,3
1642846325,4,7
1642846924,2,0
1642847525,3,3
1642848125,0,3
1642848725,1,1
1642849324,0,1
1642849925,3,5
1642850524,4,4
1642851125,1,0
1642851725,2,1
1642852324,8,2
1642852924,8,5
1642853525,1,7
1642854124,2,0
1642855326,2,4
1642855924,4,0
1642856524,8,5
1642857125,6,0
1642857724,4,0
1642858325,2,0
1642858925,0,1
1642860124,0,1
1642860725,1,1
1642861324,1,0
1642861925,1,0
1642862525,0,1
1642863124,1,0
1642863725,3,0
1642864325,1,0
1642864924,3,3
1642865525,3,2
1642866125,1,0
1642867324,1,3
1642868525,3,6
1642869125,1,0
1642869726,1,0
1642870328,1,1
1642870924,1,0
1642871525,1,1
1642872725,5,29
1642873326,1,0
1642873925,0,4
1642874524,6,5
1642875125,4,1
1642875724,1,0
1642876325,3,11
1642876925,5,0
1642877524,2,2
1642878124,3,11
1642879324,2,28
1642879925,3,2
1642881124,0,1
1642881724,0,2
1642882324,1,2
1642882924,2,0
1642883524,0,6
1642884724,5,1
1642885324,1,6
1642886523,0,15
1642887725,3,1
1642888324,6,3
1642888924,2,18
1642890124,1,7
1642890724,1,0
1642891325,1,3
1642891925,0,4
1642892524,0,2
1642893125,1,0
1642893724,0,4
1642894325,3,7
1642894924,4,1
1642896124,13,7
1642896726,17,0
1642897325,6,0
1642897925,5,1
1642898525,1,0
1642899124,1,2
1642899725,1,0
1642900325,0,1
1642900925,28,4
1642901525,2,0
1642902125,3,0
1642902725,5,2
1642903324,7,0
1642903926,9,0
1642904524,11,0
1642905726,28,6
1642906324,7,0
1642907525,6,3
1642908124,4,0
1642909925,2,1
1642910525,5,3
1642911724,13,0
1642912925,9,2
1642913525,6,0
1642914124,5,0
1642915324,8,8
1642915925,8,0
1642916525,23,7
1642917124,5,6
1642917725,15,10
1642918925,7,1
1642919525,4,5
1642920125,3,0
1642921324,18,0
1642922524,4,8
1642923125,4,1
1642923725,2,0
1642924325,3,2
1642924925,2,21
1642925526,3,0
1642926125,2,1
1642926726,4,0
1642927326,4,2
1642927925,5,2
1642928524,12,0
1642929724,7,4
1642930927,6,0
1642931524,11,0
1642932126,4,12
1642932728,2,0
1642933324,6,2
1642933925,8,0
1642934526,3,6
1642935125,14,1
1642936326,10,2
1642937525,1,2
1642938126,2,0
1642938725,3,0
1642939325,7,4
1642939926,26,1
1642941726,1,2
1642942324,1,8
1642942925,1,0
1642943526,5,4
1642944125,1,0
1642945326,1,2
1642945925,25,1
1642946524,1,6
1642947725,5,1
1642948926,9,0
1642949524,4,2
1642950125,1,0
1642950726,1,2
1642951324,1,0
1642951925,1,2
1642952526,3,3
1642953124,22,0
1642953724,8,1
1642954326,6,0
1642954924,2,6
1642955525,5,5
1642956724,4,0
1642957324,9,9
1642958524,4,2
1642959125,0,1
1642959726,1,0
1642960325,5,0
1642960924,0,1
1642962125,1,2
1642962725,0,1
1642963327,1,7
1642963925,2,4
1642964526,1,2
1642965127,2,8
1642965725,1,3
1642966325,1,1
1642966926,1,0
1642967525,2,1
1642968124,2,4
1642968726,2,3
1642969325,8,0
1642970526,4,2
1642971124,11,2
1642971726,1,5
1642972327,3,0
1642972924,10,2
1642973526,4,3
1642974127,30,0
1642974725,9,0
1642975324,10,1
1642975926,3,0
1642976524,8,7
1642977727,2,0
1642978326,18,1
1642978925,22,0
1642980125,9,16
1642980725,8,0
