DateTime,AddedIPs,RemovedIPs
1642777925,1,0
1642779124,9,10
1642779725,2,0
1642780324,7,12
1642781524,10,11
1642782124,6,1
1642783326,5,14
1642783924,0,3
1642785124,4,0
1642786324,2,0
1642786924,1,3
1642788124,5,0
1642788724,2,1
1642789324,0,1
1642789924,1,2
1642791124,3,0
1642791724,2,0
1642792325,3,1
1642793524,5,2
1642794724,11,34
1642795324,3,4
1642795925,1,0
1642796524,7,0
1642797725,3,1
1642798324,0,7
1642798924,0,3
1642799524,2,0
1642800124,2,0
1642800724,4,2
1642801325,0,1
1642802525,8,6
1642803125,4,3
1642803724,1,0
1642804925,4,2
1642806124,4,0
1642806724,2,1
1642807925,0,2
1642808526,1,11
1642809124,8,3
1642809724,0,6
1642810326,1,0
1642810924,8,6
1642811525,3,0
1642813925,11,10
1642814525,8,6
1642815125,5,2
1642816324,14,1
1642816924,3,1
1642818124,3,0
1642819325,2,2
1642819925,5,2
1642820524,4,0
1642821126,1,1
1642821724,2,1
1642822925,3,4
1642823525,4,0
1642824124,0,6
1642824725,0,8
1642825324,3,0
1642826526,5,0
1642827124,2,10
1642827724,1,0
1642828325,6,6
1642828924,1,0
1642830125,10,6
1642830724,1,2
1642831324,2,0
1642832524,3,5
1642833725,0,4
1642834924,4,7
1642835525,4,1
1642836725,12,0
1642837924,0,10
1642838524,3,8
1642839725,3,0
1642840925,4,17
1642841524,5,0
1642842124,2,6
1642842725,3,0
1642843325,3,1
1642843924,5,1
1642844525,4,0
1642845125,2,2
1642846325,7,3
1642846924,4,0
1642848725,1,3
1642849324,1,5
1642850524,2,2
1642851725,11,1
1642852924,5,0
1642853525,1,7
1642854124,1,0
1642854725,5,11
1642855924,3,3
1642856524,0,1
1642857724,7,1
1642858325,3,0
1642858925,1,2
1642859524,2,0
1642860124,1,0
1642860725,2,2
1642861324,3,1
1642862525,6,2
1642863724,7,3
1642864924,7,6
1642865525,61,1
1642866725,1,11
1642867324,3,0
1642868525,5,5
1642869125,3,0
1642869726,4,1
1642870924,5,0
1642871525,5,3
1642873325,7,2
1642874524,4,3
1642875125,4,1
1642875724,3,0
1642876325,4,0
1642876925,0,7
1642877524,2,0
1642878124,5,1
1642879324,1,7
1642879925,0,2
1642881124,12,0
1642881724,1,2
1642882324,11,5
1642882924,12,5
1642884125,8,2
1642884724,0,1
1642885324,2,0
1642885925,4,2
1642886523,0,1
1642887124,5,3
1642887725,5,0
1642888924,7,0
1642890124,7,8
1642890724,6,4
1642891325,3,0
1642891924,3,0
1642893125,9,6
1642893724,2,0
1642894325,4,0
1642894924,0,5
1642896124,34,3
1642897325,9,5
1642899124,7,8
1642899725,4,0
1642900325,7,0
1642900925,0,3
1642901525,1,1
1642902724,5,8
1642903324,6,0
1642903926,5,2
1642904524,2,0
1642905124,0,6
1642905726,1,3
1642906324,2,3
1642907525,1,0
1642908124,4,11
1642909325,8,0
1642910525,4,3
1642911125,3,0
1642911724,1,12
1642912325,4,0
1642913525,15,6
1642914124,3,2
1642915324,5,8
1642915925,1,0
1642917124,0,1
1642917724,4,5
1642918925,5,1
1642920125,1,6
1642920724,1,0
1642921324,5,0
1642922524,9,8
1642923125,7,0
1642923725,4,2
1642924325,3,0
1642924925,0,7
1642925526,7,0
1642926125,2,4
1642927326,7,0
1642927925,6,9
1642929128,2,3
1642929724,1,6
1642930927,4,0
1642931524,6,7
1642932728,7,7
1642933925,4,0
1642934526,1,0
1642935125,3,3
1642936924,5,2
1642937525,1,3
1642938126,2,0
1642938725,1,1
1642939926,3,11
1642940525,2,2
1642941726,0,1
1642942324,0,1
1642943526,1,3
1642944725,2,1
1642945925,3,7
1642947126,1,2
1642947725,5,0
1642948326,0,3
1642949524,3,5
1642950726,6,2
1642951925,12,6
1642952526,6,46
1642953124,2,0
1642954924,5,21
1642955525,8,4
1642956127,2,0
1642956724,1,5
1642957324,5,6
1642957926,4,0
1642959726,0,4
1642960924,4,8
1642962125,2,5
1642963327,2,1
1642963925,1,1
1642964526,1,0
1642965127,2,0
1642966325,8,0
1642966926,3,0
1642967525,7,6
1642968124,3,10
1642969325,5,0
1642969926,5,9
1642971124,6,4
1642971726,5,1
1642972924,5,0
1642973526,2,4
1642974127,2,0
1642974725,0,7
1642975324,4,4
1642975926,1,0
1642976524,1,3
1642977727,4,4
1642978325,0,4
1642978925,0,7
