DateTime,Entries,UniqueIPs
1642672324,2247,2316
1642673525,2243,2315
1642674724,2240,2312
1642675325,2241,2313
1642675924,2238,2310
1642676524,2235,2307
1642678324,2232,2305
1642680724,2230,2304
1642681324,2226,2300
1642681924,2227,2301
1642683124,2225,2300
1642685525,2224,2299
1642686125,2224,2299
1642687324,2225,2300
1642687925,2223,2298
1642689124,2221,2296
1642690324,2220,2295
1642690924,2219,2294
1642691525,2217,2292
1642693324,2246,2322
1642693924,2239,2315
1642694524,2237,2313
1642696925,2236,2312
1642697524,2237,2313
1642698724,2235,2311
1642699324,2234,2310
1642700524,2231,2307
1642702324,2228,2304
1642703525,2227,2303
1642704125,2229,2305
1642705924,2227,2303
1642706523,2226,2302
1642707124,2249,2325
1642708923,2251,2327
1642709524,2250,2325
1642710124,2246,2319
1642712524,2243,2316
1642713125,2241,2314
1642714325,2240,2313
1642714925,2240,2314
1642716124,2241,2314
1642717323,2240,2313
1642717924,2242,2315
1642719124,2243,2316
1642720324,2242,2315
1642721524,2240,2313
1642722724,2242,2315
1642723324,2243,2316
1642723925,2244,2316
1642725725,2243,2316
1642726323,2241,2314
1642726923,2242,2315
1642728124,2240,2312
1642729924,2239,2311
1642731125,2236,2308
1642732324,2237,2309
1642732925,2234,2306
1642734726,2230,2302
1642735925,2229,2301
1642737124,2229,2301
1642737724,2230,2302
1642738324,2228,2300
1642738924,2219,2291
1642739525,2218,2290
1642740124,2219,2291
1642740724,2221,2293
1642741925,2222,2294
1642742524,2221,2293
1642743724,2220,2292
1642744924,2221,2293
1642746124,2219,2291
1642747324,2220,2292
1642748523,2222,2294
1642749125,2220,2292
1642750324,2217,2289
1642751524,2218,2290
1642753325,2217,2289
1642754525,2215,2287
1642755724,2149,2221
1642756324,2147,2219
1642756924,2146,2218
1642757524,2144,2216
1642758125,2143,2215
1642758725,2139,2211
1642759325,2138,2210
1642760524,2137,2209
1642761125,2137,2209
1642762324,2140,2212
1642763525,2142,2214
1642764724,2141,2213
1642765924,2143,2215
1642767125,2144,2216
1642768925,2145,2217
1642770124,2146,2218
1642771325,2147,2220
1642772525,2148,2221
1642773724,2146,2219
1642775525,2147,2220
1642776124,2146,2219
1642777324,2145,2218
1642779124,2124,2197
1642780324,2092,2165
1642781524,2093,2166
1642782124,2094,2167
1642783326,2093,2166
1642783924,2090,2163
1642785124,2089,2162
1642786324,2090,2163
1642786924,2087,2160
1642788124,2088,2161
1642789924,2084,2157
1642791124,2085,2158
1642791724,2086,2159
1642792325,2086,2159
1642793524,2087,2160
1642794724,2086,2158
1642795324,2087,2159
1642795925,2081,2153
1642796524,2084,2156
1642797725,2081,2153
1642800124,2079,2151
1642800724,2083,2155
1642802525,2082,2154
1642803125,2082,2153
1642804925,2083,2154
1642806124,2085,2156
1642806724,2082,2153
1642808526,2080,2151
1642809124,2083,2154
1642810326,2081,2152
1642810924,2080,2151
1642811525,2080,2151
1642813925,2079,2150
1642814525,2082,2153
1642815125,2082,2153
1642816324,2085,2156
1642816924,2085,2157
1642818124,2085,2155
1642819325,2084,2154
1642819925,2083,2153
1642820524,2082,2152
1642821126,2081,2151
1642821724,2082,2152
1642822925,2083,2153
1642824124,2045,2115
1642825324,2048,2118
1642826526,2048,2118
1642827124,2044,2114
1642827724,2042,2112
1642828325,2045,2116
1642830125,2051,2122
1642830724,2050,2121
1642832524,2047,2118
1642833125,2046,2117
1642834924,2042,2113
1642835525,2044,2115
1642836725,2047,2120
1642839725,2043,2116
1642840925,2042,2115
1642842124,2043,2116
1642844525,2041,2114
1642845125,2042,2115
1642845724,2038,2111
1642846325,2041,2114
1642846924,2043,2116
1642848725,2042,2115
1642850524,2041,2113
1642851725,2047,2119
1642852924,2050,2122
1642853525,2050,2122
1642854725,2049,2121
1642855924,2048,2121
1642857724,2048,2123
1642858925,2049,2124
1642859524,2047,2121
1642860725,2047,2121
1642861324,2048,2122
1642862525,2049,2123
1642863724,2052,2126
1642864924,2051,2125
1642865525,2101,2175
1642867324,2094,2168
1642868525,2093,2167
1642869125,2094,2168
1642869726,2095,2169
1642870924,2098,2172
1642871525,2099,2173
1642873325,2101,2175
1642874524,2102,2176
1642875724,2102,2177
1642876325,2102,2177
1642878124,2102,2177
1642879324,2101,2176
1642879925,2098,2173
1642881124,2102,2177
1642882324,2101,2176
1642882924,2108,2185
1642884125,2112,2186
1642885324,2111,2185
1642885925,2112,2185
1642887124,2111,2184
1642887725,2112,2185
1642888924,2115,2187
1642890124,2116,2188
1642890724,2117,2189
1642891325,2115,2187
1642893125,2118,2190
1642894325,2119,2191
1642894924,2117,2189
1642896124,2145,2219
1642897325,2148,2222
1642899124,2146,2220
1642899725,2144,2218
1642900325,2142,2217
1642900925,2138,2213
1642901525,2139,2214
1642902724,2130,2205
1642903324,2130,2205
1642903926,2132,2207
1642905124,2129,2204
1642905726,2130,2205
1642906324,2129,2204
1642906924,2128,2203
1642907525,2129,2204
1642908124,2129,2204
1642909325,2130,2205
1642910525,2131,2206
1642911125,2130,2206
1642911724,2129,2205
1642912325,2130,2206
1642913525,2135,2211
1642915324,2134,2210
1642915925,2135,2211
1642917124,2132,2208
1642918925,2133,2209
1642920125,2134,2210
1642920724,2135,2211
1642921324,2138,2214
1642922524,2143,2219
1642923125,2143,2219
1642923725,2141,2217
1642924325,2142,2218
1642924925,2138,2214
1642925526,2141,2217
1642926125,2143,2219
1642927326,2147,2223
1642927925,2148,2224
1642929128,2145,2221
1642929724,2143,2219
1642930927,2144,2220
1642931524,2143,2219
1642932728,2143,2219
1642933925,2143,2220
1642935125,2145,2223
1642936924,2145,2223
1642938725,2144,2222
1642939926,2146,2225
1642940525,2148,2227
1642941726,2145,2224
1642942925,2140,2219
1642943526,2141,2220
1642944725,2141,2220
1642945925,2143,2222
1642947725,2147,2226
1642948326,2146,2225
1642949524,2148,2227
1642950726,2150,2230
1642951925,2157,2237
1642952526,2159,2239
1642953124,2160,2240
1642954924,2160,2240
1642955525,2158,2238
1642956724,2157,2237
1642957324,2159,2239
1642957926,2158,2238
1642959726,2156,2236
1642960924,2157,2238
1642962125,2158,2239
1642963327,2157,2238
1642964526,2155,2236
1642966325,2158,2239
1642966926,2159,2240
1642967525,2158,2239
1642968124,2161,2242
1642969325,2158,2239
1642969926,2141,2222
1642971124,2143,2225
1642971726,2143,2225
1642972924,2144,2226
1642973526,2146,2228
1642974127,2148,2230
1642975324,2150,2232
1642975926,2151,2233
1642976524,2151,2233
1642977727,2150,2232
1642980125,2155,2237
1642981326,2157,2239
1642981924,2158,2240
1642982526,2157,2239
1642983126,2159,2241
1642983725,2161,2243
1642984926,2174,2256
1642985524,2175,2257
1642987324,2174,2256
1642987925,2176,2258
1642989125,2176,2258
1642989724,2176,2258
1642990328,2175,2257
1642990925,2178,2259
1642992127,2179,2260
1642993325,2178,2259
1642994525,2177,2258
1642995726,2180,2261
1642996324,2181,2263
1642996925,2175,2257
1642997527,2176,2258
1642999327,2174,2256
1642999925,2189,2271
1643000524,2190,2272
1643001724,2188,2270
1643003524,2189,2271
1643004125,2186,2268
1643005325,2189,2271
1643005925,2187,2269
1643007124,2189,2271
1643008327,2186,2268
