DateTime,AddedIPs,RemovedIPs
1642802525,40,40
1642803125,25,25
1642803724,25,25
1642804324,8,8
1642804925,27,27
1642806124,53,53
1642806724,26,26
1642807925,18,18
1642808526,29,29
1642809124,48,48
1642809724,24,24
1642810326,26,26
1642810924,54,54
1642811525,38,38
1642812125,20,20
1642813925,77,77
1642814525,57,57
1642815125,40,40
1642816324,85,85
1642816924,37,37
1642818124,46,46
1642819325,60,60
1642819925,34,34
1642820524,43,43
1642821126,11,11
1642821724,48,49
1642822925,73,72
1642823525,39,39
1642824124,16,16
1642824725,24,24
1642825324,39,39
1642826526,72,72
1642827124,36,36
1642827724,50,50
1642828325,45,45
1642828924,20,20
1642830125,60,60
1642830724,26,26
1642831324,30,30
1642832524,30,30
1642833125,14,14
1642833725,15,15
1642834924,62,62
1642835525,17,17
1642836725,61,61
1642837924,26,26
1642838524,33,33
1642839725,20,20
1642840925,32,32
1642841524,37,38
1642842124,27,27
1642842725,22,22
1642843325,33,32
1642843924,43,43
1642844525,23,23
1642845125,36,36
1642845724,9,9
1642846325,43,43
1642846924,25,25
1642848725,58,59
1642849324,35,34
1642850524,50,50
1642851725,52,52
1642852924,50,50
1642853525,38,38
1642854124,21,21
1642854725,32,32
1642855326,20,20
1642855924,33,33
1642856524,9,9
1642857724,65,65
1642858325,30,30
1642858925,42,42
1642859524,24,24
1642860124,27,27
1642860725,21,21
1642861324,17,17
1642861925,8,8
1642862525,43,43
1642863724,53,53
1642864924,35,35
1642865525,78,78
1642866725,59,59
1642867324,37,37
1642868525,68,68
1642869125,24,24
1642869726,43,44
1642870924,59,58
1642871525,41,41
1642872124,9,9
1642873325,70,70
1642874524,52,52
1642875125,47,47
1642875724,42,42
1642876325,29,29
1642876925,14,14
1642877524,28,28
1642878124,57,57
1642879324,39,39
1642879925,9,9
1642881124,72,72
1642881724,22,22
1642882324,70,70
1642882924,52,52
1642884125,81,81
1642884724,20,20
1642885324,42,42
1642885925,35,35
1642886523,13,13
1642887124,36,36
1642887725,44,44
1642888924,57,57
1642890124,82,82
1642890724,49,49
1642891325,44,44
1642891924,36,36
1642893125,92,92
1642893724,27,27
1642894325,38,38
1642894924,41,41
1642896124,86,86
1642897325,93,93
1642899124,82,82
1642899725,65,65
1642900325,46,46
1642900925,26,26
1642901525,24,24
1642902724,79,79
1642903324,53,53
1642903926,63,63
1642904524,38,38
1642905124,13,13
1642905726,27,27
1642906324,54,54
1642906924,10,10
1642907525,40,40
1642908124,28,28
1642909325,72,72
1642910525,88,88
1642911125,42,42
1642911724,27,27
1642912325,23,23
1642913525,59,59
1642914124,32,32
1642915324,87,87
1642915925,31,31
1642917124,43,43
1642917724,48,48
1642918925,60,60
1642920125,45,45
1642920724,12,12
1642921324,36,36
1642922524,76,76
1642923125,46,46
1642923725,31,31
1642924325,19,19
1642924925,23,23
1642925526,45,45
1642926125,25,25
1642927326,55,55
1642927925,41,41
1642929128,29,29
1642929724,42,42
1642930927,81,81
1642931524,42,42
1642932728,66,66
1642933925,84,84
1642934526,20,20
1642935125,28,28
1642936924,70,70
1642937525,15,15
1642938126,27,27
1642938725,27,27
1642939926,30,30
1642940525,36,36
1642941726,26,26
1642942324,10,10
1642942925,13,14
1642943526,26,26
1642944125,4,4
1642944725,12,12
1642945925,29,29
1642947126,10,10
1642947725,23,22
1642948326,12,12
1642949524,32,32
1642950726,28,28
1642951925,85,85
1642952526,41,41
1642953124,41,41
1642954924,71,71
1642955525,61,61
1642956127,39,39
1642956724,36,36
1642957324,31,31
1642957926,35,35
1642958524,11,11
1642959726,28,28
1642960924,46,46
1642962125,44,44
1642963327,68,68
1642963925,33,33
1642964526,9,9
1642965127,20,20
1642966325,52,52
1642966926,30,30
1642967525,32,32
1642968124,31,31
1642969325,64,64
1642969926,42,42
1642971124,79,79
1642971726,22,22
1642972924,30,30
1642973526,16,16
1642974127,37,37
1642974725,14,14
1642975324,41,41
1642975926,24,24
1642976524,22,22
1642977727,51,51
1642978325,14,14
1642978925,29,29
1642980125,44,44
1642981326,76,76
1642981924,27,27
1642982526,47,47
1642983126,45,46
1642983725,30,30
1642984926,88,87
1642985524,51,51
1642986125,26,26
1642987324,56,56
1642987925,26,27
1642988527,15,15
1642989125,15,15
1642989724,32,32
1642990328,19,18
1642990925,30,30
1642992127,47,47
1642992725,11,11
1642993325,17,17
1642993927,19,19
1642994525,13,13
1642995726,45,45
1642996324,29,29
1642996925,13,13
1642997527,27,27
1642998124,10,10
1642999327,42,42
1642999925,36,36
1643000524,30,30
1643001724,54,54
1643002926,46,46
1643003524,29,29
1643004125,45,45
1643005325,47,47
1643005925,29,29
1643006527,16,16
1643007124,29,29
1643008327,15,15
1643009526,10,10
1643010126,11,11
1643010724,7,7
1643011325,11,11
1643011926,19,19
1643013126,24,24
1643014925,60,60
1643015526,25,25
1643016124,31,31
1643016727,33,33
1643017328,24,24
1643018525,53,53
1643019724,45,45
1643020325,13,13
1643020927,23,23
1643022124,27,27
1643022726,13,13
1643023324,32,32
1643024525,28,28
1643025124,12,12
1643026326,29,29
1643026924,28,28
1643028126,25,25
1643028725,10,10
1643029325,7,7
1643030525,30,30
1643031125,8,8
1643031727,10,10
1643032324,28,28
1643033526,32,32
1643034125,24,24
1643034725,10,10
1643035326,25,25
1643035924,22,22
1643036525,15,15
1643037724,11,11
1643038325,95,95
1643038925,41,41
1643039525,35,35
1643040726,35,35
1643041325,15,15
1643041925,9,9
1643043124,19,19
1643043724,17,17
1643044924,7,7
1643045525,1,1
1643046126,23,23
1643046724,3,3
1643047927,20,20
1643048524,5,5
1643049726,6,6
1643050924,1,1
1643051525,11,11
1643052124,20,20
1643052725,36,36
1643053924,24,24
1643054525,39,39
1643055126,15,15
1643055724,13,13
1643056325,14,14
1643057525,43,43
1643058124,15,15
1643058727,10,10
1643060526,41,41
1643061124,11,11
1643061724,5,5
1643062924,40,40
1643063525,39,39
1643064725,47,47
1643065324,11,11
1643066524,65,65
1643067726,59,59
1643068925,67,67
1643069525,17,17
1643070124,21,21
1643070726,10,10
1643071924,66,66
1643073126,34,34
1643073725,44,44
1643074324,17,17
1643074925,13,13
1643075524,30,30
1643076124,28,28
1643076725,10,10
1643077325,13,13
1643078527,22,22
1643079124,27,27
1643079725,14,14
1643080326,16,16
1643080925,26,26
1643081524,18,18
1643082127,41,41
1643082724,17,17
1643083325,26,26
1643083926,8,8
1643084524,21,22
1643085124,13,13
1643085726,11,11
1643086325,9,9
1643086924,23,23
1643087527,24,23
1643088725,27,27
1643089924,27,27
1643090524,20,20
1643091725,15,15
1643092325,20,20
1643092925,14,14
1643093524,96,96
1643094125,42,42
1643094726,39,39
1643095324,35,35
1643095925,31,31
1643096526,7,7
1643097124,7,7
1643097724,33,33
1643098326,7,7
1643098924,10,10
1643099525,5,5
1643100126,13,13
1643100724,14,14
1643101324,13,13
1643102524,33,33
1643103726,22,22
1643104326,23,23
1643105526,31,31
1643106124,18,18
1643107326,32,32
1643107924,21,21
1643108524,24,24
1643109724,40,40
1643110325,19,19
1643110926,28,29
1643111527,21,21
1643112725,35,35
1643113324,25,24
1643114527,30,30
1643115125,9,9
1643115725,12,12
1643116326,23,23
1643116924,8,8
1643118126,28,28
1643118724,32,32
1643119324,15,15
1643119927,6,6
1643121124,30,30
1643121726,8,8
1643122924,49,49
1643123525,19,19
1643124124,40,40
1643124724,28,28
1643125326,15,15
1643125924,16,16
1643127724,77,77
1643128325,15,15
1643128927,10,10
1643130125,34,34
1643131325,66,66
1643132526,51,51
1643133725,37,37
1643134326,31,31
1643135525,68,68
1643136126,22,22
1643137324,38,38
1643138525,49,49
1643139125,22,22
1643140324,79,79
1643140924,28,28
1643142124,33,33
1643142725,15,15
1643143924,83,83
1643144524,16,16
1643145724,57,57
1643146324,48,48
1643148125,80,80
1643148727,10,10
1643149325,10,10
1643149924,47,47
1643150525,58,58
1643151124,56,56
1643151725,62,62
1643152325,46,46
1643152924,55,55
1643153525,68,68
1643154724,90,90
1643155325,40,40
1643156525,68,68
1643157126,39,39
1643157726,35,35
1643158324,60,60
1643158924,62,62
1643160124,79,79
1643160725,46,46
1643161325,40,40
1643162523,80,80
1643163724,43,43
1643164324,34,34
1643164926,10,10
1643165524,10,10
1643166726,34,34
1643167323,23,23
1643167924,18,18
1643169123,63,63
1643169724,12,12
1643170326,13,13
1643170924,23,23
1643172126,54,54
1643172725,39,39
1643173926,78,78
1643174525,36,36
1643175125,33,33
1643175727,33,33
1643176325,32,32
1643176924,22,22
1643177526,20,20
1643178124,22,22
1643178724,31,31
1643179924,59,59
1643180524,30,30
1643181125,18,18
1643182325,27,27
1643182926,14,14
1643183525,13,13
1643184125,19,19
1643184725,8,8
1643185324,30,30
1643185925,20,20
1643186525,17,17
1643187124,8,8
1643187724,34,34
1643188924,47,47
1643189525,7,7
1643190127,18,18
1643190725,30,30
1643191324,33,33
1643192524,81,81
1643193126,50,50
1643193726,60,60
1643194324,49,49
1643194924,22,22
1643196124,51,51
