DateTime,AddedIPs,RemovedIPs
1641580202,187,0
1641582003,102,0
1641588302,363,0
1641592802,217,0
1641596403,144,0
1641600003,146,4411
1641600902,53,0
1641601803,48,0
1641606302,208,0
1641607202,49,0
1641610803,149,0
1641614402,122,0
1641616202,64,0
1641618903,121,0
1641620703,81,0
1641624302,194,0
1641628802,192,0
1641636003,246,0
1641636903,44,0
1641639603,82,0
1641643203,139,0
1641644103,26,0
1641647702,144,0
1641651302,164,0
1641654902,156,0
1641658502,161,0
1641663903,277,0
1641667502,168,0
1641674703,268,0
1641675602,48,0
1641679202,128,0
1641681903,98,0
1641683703,69,0
1641686403,185,4849
1641690003,212,0
1641693602,134,0
1641697202,169,0
1641700803,172,0
1641703502,109,0
1641707102,192,0
1641708902,98,0
1641712502,156,0
1641716103,146,0
1641719702,164,0
1641725103,238,0
1641728703,155,0
1641731402,112,0
1641735902,203,0
1641740402,176,0
1641744003,177,0
1641744903,24,0
1641748502,165,0
1641752103,166,0
1641753903,78,0
1641759302,230,0
1641762903,154,0
1641768303,259,0
1641769203,30,0
1641775502,228,3789
1641780003,177,0
1641783602,142,0
1641787202,164,1
1641789003,69,0
1641791703,127,0
1641795302,168,0
1641796203,58,0
1641798902,186,0
1641799802,64,0
1641802503,165,0
1641804302,105,0
1641808803,263,0
1641812403,264,0
1641814202,105,0
1641816902,167,0
1641819603,137,0
1641821402,106,0
1641824102,151,0
1641825002,47,0
1641826803,82,0
1641828603,85,0
1641831303,134,0
1641834903,164,0
1641838503,177,0
1641841202,124,0
1641844803,197,0
1641847503,149,0
1641851103,163,0
1641854703,141,0
1641856502,57,0
1641859203,102,3768
1641862803,155,0
1641864603,78,0
1641870003,286,0
1641875403,244,0
1641882603,330,0
1641886202,203,0
1641890702,208,0
1641895203,226,0
1641902402,385,0
1641906002,215,0
1641909602,190,0
1641910503,65,0
1641913203,150,0
1641916803,220,0
1641917703,58,0
1641923102,325,0
1641924003,38,0
1641924903,55,0
1641926704,75,0
1641930302,165,0
1641933002,149,0
1641933903,53,0
1641934802,91,0
